Description_Cluster;Count;Associated_Comment_Clusters
par concr;0;
concr tion;1;
coffrages;28;de(3)|construction(3)|n(2)|l(2)|caisson(2)|nettoy(2)|la(2)|d(2)|ventuellement(2)|et(2)
mal;32;supprim(6)|ouvrage(4)|cette(3)|constatation(3)|peut(3)|tre(3)|e(3)|cette constatation(3)|constatation peut(3)|peut tre(3)
coffrages mal;0;
mal nettoy;0;
s lors;0;
taches;47;d(6)|inspection(3)|raccord(3)|sultat(2)|du(2)|faut(2)|tanch(2)|de(2)|chauss(2)|e(2)
de taches;0;
taches de;0;
rouille constat;0;
humides avec;0;
fissuration;74;rifier(4)|de(3)|inspection(2)|a(2)|v(2)|par(2)|des(2)|essais(2)|a v(2)|rifier par(2)
avant;3;
pose;38;carbonate(3)|constation(2)|rieures(2)|ponctuellement(2)|de(2)|aucune(1)|photo(1)|des(1)|cette(1)|n(1)
it;1883;de(129)|non(109)|sup(95)|non sup(91)|0(72)|fissures(69)|et(63)|3mm(60)|fissures de(53)|largeur(47)
humidit probablement;0;
probablement fissuration;0;
fissuration avant;0;
avant pose;0;
pose d;0;
tanch it;0;
microfissures;5;de(2)|non(2)|sup(2)|non sup(2)|fissures(1)|largeur(1)|0(1)|1mm(1)|et(1)|longueur(1)
retrait;97;de(87)|sup(85)|non(83)|non sup(83)|fissures(47)|0(45)|et(45)|3mm(44)|largeur(43)|fissures de(43)
de retrait;0;
signe;4;de(4)|eventuellement(3)|les(2)|sont(2)|dues(2)|la(2)|roulement(2)|taches(1)|rouille(1)|l(1)
corrosion;159;de(45)|non(37)|sup(37)|non sup(37)|fissures(24)|0(23)|3mm(23)|et(20)|fissures de(19)|longueur(19)
aucun signe;0;
signe de;0;
chauss;53;de(9)|d(7)|la(6)|ouvrage(6)|de l(6)|efflorescences(5)|corrosion(5)|eau(5)|d eau(5)|l(5)
tanche;43;de(9)|d(8)|constatations(8)|ouvrage(7)|l(6)|de l(6)|corrosion(4)|raccords(4)|tanch(4)|les raccords(4)
de chauss;0;
e non;0;
non tanche;0;
localis;32;constatation(2)|effectu(2)|ouvrage(2)|r(2)|par(2)|r par(2)|mettre(2)|jour(2)|mistra(2)|mettre jour(2)
clats localis;0;
rupture;22;corrosion(4)|armatures(3)|d(2)|mauvais(2)|r(2)|par(2)|r par(2)|avec(1)|efflorescences(1)|avec efflorescences(1)
niveau;92;d(4)|de(4)|ouvrage(3)|caniques(2)|accumulation(2)|eau(2)|dans(2)|d eau(2)|la(2)|l(2)
dalle;80;de(6)|la(6)|de la(6)|le(5)|a(5)|b(4)|ton(4)|clat(4)|plusieurs(4)|endroits(4)
caisson;33;difficile(6)|chauss(4)|d(3)|e(3)|caniques(2)|condensation(2)|situ(2)|entre(2)|les(2)|deux(2)
rupture du;0;
du b;0;
ton au;0;
au niveau;0;
niveau de;0;
la dalle;0;
dalle sup;0;
rieure sur;0;
la largeur;0;
largeur du;0;
du caisson;0;
sous;73;ouvrage(20)|assainissement(12)|de(11)|l(11)|de l(11)|le(8)|et(8)|uplan(7)|dans(6)|martigny(6)
oi;519;de(58)|la(24)|non(23)|sup(21)|de l(21)|et(20)|dans(20)|l(20)|ouvrage(18)|non sup(17)
voir constatation;0;
du sous;0;
sous oi;0;
partie;134;de(33)|corrosion(27)|en(22)|armature(20)|efflorescences(19)|d(16)|la(16)|d armatures(16)|de la(14)|le(14)
rue;3;caniques(2)|d(1)|g(1)|ts(1)|m(1)|mineurs(1)|sans(1)|armature(1)|apparente(1)|d g(1)
bellerive;1;caniques(2)|d(1)|g(1)|ts(1)|m(1)|mineurs(1)|sans(1)|armature(1)|apparente(1)|d g(1)
choc au;0;
la partie;0;
partie inf;0;
inf du;0;
caisson sur;0;
sur la;0;
la rue;0;
rue de;0;
face;287;de(65)|de l(35)|la(34)|ouvrage(32)|l(28)|d(26)|sup(26)|e(26)|en(22)|fortement(22)
sous face;0;
face caisson;0;
bis 5;0;
mm mit;0;
mit ausbl;0;
als;114;constatation(4)|migr(3)|dans(3)|migr dans(3)|caisson(2)|dans caisson(2)|entreprise(2)|de(2)|sanitaire(2)|effectu(2)
frontmauer;1;
leicht gr;0;
sser als;0;
als auf;0;
der frontmauer;0;
verschiebung horizontal;0;
horizontal bis;2;
bis 3;0;
hinterseite;9;
sichtbar an;0;
der hinterseite;0;
hinterseite der;0;
der mauer;0;
quelques;26;ponctuellement(2)|rieures(2)|0(2)|migr(1)|dans(1)|dalle(1)|inf(1)|migr dans(1)|dans dalle(1)|dalle inf(1)
quelques petits;0;
petits clats;0;
aux;156;non(17)|de(16)|migr(12)|d(10)|non migr(8)|sup(8)|la(7)|pas(7)|du(6)|non sup(6)
deux;58;de(15)|non(14)|sup(14)|non sup(14)|dans(9)|migr dans(9)|migr(8)|0(8)|et(8)|longueur(8)
extr;60;de(6)|non(6)|sup(6)|non sup(6)|par(4)|assainissement(4)|du(4)|entreprise(4)|pas(4)|visible(4)
trav;45;non(14)|migr(9)|de(9)|non migr(8)|fissures(8)|fissures de(8)|sup(4)|non sup(4)|et(3)|tation(3)
centrale;22;de(4)|carbonate(3)|non(2)|sup(2)|non sup(2)|fissures(1)|largeur(1)|0(1)|3mm(1)|et(1)
jonction;19;collecteur(4)|bouchon(2)|du(2)|remis(2)|en(2)|place(2)|bouchon du(2)|collecteur remis(2)|remis en(2)|en place(2)
entretoises;40;de(26)|non(16)|sup(16)|non sup(16)|fissures(14)|fissures de(14)|dans(11)|caisson(11)|migr dans(11)|dans caisson(11)
aux deux;0;
deux extr;0;
extr mit;0;
mit s;0;
la trav;0;
trav e;0;
centrale jonction;0;
jonction avec;0;
avec les;0;
les entretoises;0;
entretoises ouverture;0;
rhabillages;24;rhabillage(6)|de(5)|en(4)|de l(4)|d(4)|interventions(3)|l(3)|perte(3)|adh(3)|rence(3)
surface;223;de(56)|de l(34)|ouvrage(32)|la(29)|e(26)|l(25)|d(24)|sup(23)|fortement(22)|surface(20)
en surface;0;
tubes;2;
bo;200;de(28)|ouvrage(25)|d(24)|l(21)|e(19)|de l(18)|la(17)|fortement(17)|eau(15)|venue(14)
endroit;9;commence(2)|tache(1)|de(1)|rouille(1)|a(1)|tre(1)|visible(1)|en(1)|surface(1)|tache de(1)
manchon;3;
tubes d;0;
d bo;0;
bo t;0;
s l;0;
endroit du;0;
du manchon;0;
sierre;2;
appui;39;condensation(2)|probablement(1)|dues(1)|de(1)|la(1)|probablement dues(1)|dues de(1)|de la(1)|clat(1)|visible(1)
se;2399;de(95)|0(40)|fissures(34)|d(32)|surface(30)|mm(28)|sup(26)|l(26)|en surface(25)|non(24)
plaque;18;
glissement;1;
l appui;0;
appui se;0;
se trouve;0;
trouve l;0;
l extr;0;
mit de;0;
la plaque;0;
plaque de;0;
dalle caisson;0;
caisson sans;0;
sans armature;0;
ment;917;de(86)|fissures(36)|d(34)|constatation(34)|la(33)|0(33)|en(29)|corrosion(27)|armatures(27)|rieures(25)
cass;48;entretien(3)|l(2)|automne(2)|non(1)|relev(1)|avec(1)|les(1)|nouveaux(1)|graffitis(1)|non relev(1)
l ment;0;
ment cass;0;
rahmen;27;
instandsetzung;25;
im rahmen;0;
rahmen der;0;
2022;75;ouvrage(18)|de(14)|photo(14)|de la(12)|aucune photo(12)|assainissement(12)|l(11)|constation(11)|photo des(11)|aucune(10)
instandsetzung 2022;0;
bergang;38;funktionstauglich(2)|sichtbar(1)|durch(1)|ausfl(1)|sse(1)|unten(1)|sichtbar durch(1)|durch ausfl(1)|ausfl sse(1)|sse unten(1)
br;537;risse(9)|aar(8)|mit(6)|l(5)|r(5)|nicht(4)|quantifizierbar(4)|netzartige(4)|bis(4)|d(4)
ckenplatte;12;
risse nach;0;
nach dem;0;
dem bergang;0;
bergang zur;0;
zur br;0;
age;596;de(66)|d(32)|en(30)|corrosion(27)|armatures(26)|la(24)|de l(22)|et(22)|efflorescences(21)|surface(20)
surtout au;0;
du ragr;0;
ragr age;3;migr(1)|dans(1)|caisson(1)|migr dans(1)|dans caisson(1)
max de;0;
nids;51;rhabillage(10)|de(5)|surface(5)|de surface(5)|assainissement(4)|du(4)|entreprise(4)|parapet(2)|avec(2)|mortier(2)
gravier;27;
de nids;0;
nids de;0;
de gravier;0;
gravier constat;0;
fissure localement;0;
localement sup;0;
3mm suspicion;0;
visible;121;constation(21)|ouvrage(18)|de(16)|ces constatations(14)|photo(13)|aucune photo(12)|assainissement(12)|pas(11)|visible(11)|pas visible(11)
depuis;95;de(32)|corrosion(27)|armatures(27)|efflorescences(19)|en(19)|la(17)|d(14)|de la(14)|surface(12)|en surface(12)
int;821;de(78)|localis(66)|protection(42)|surface(37)|application(36)|ragr(34)|s(34)|d(34)|de surface(34)|ages(33)
une armature;0;
apparente sur;0;
sur 15;0;
cm visible;0;
visible depuis;0;
l int;0;
int rieur;0;
rement;78;de(7)|le(6)|b(6)|ton(6)|a(6)|clat(6)|plusieurs(6)|endroits(6)|en(6)|raison(6)
rouille et;0;
l g;0;
rement apparentes;0;
ts divers;0;
divers surtout;0;
aux extr;0;
j;490;de(48)|constatations(34)|ouvrage(24)|l(19)|de l(18)|d(17)|assainissement(16)|la(14)|surface(14)|et(13)
en partie;0;
partie haute;0;
haute la;0;
la zone;0;
zone a;0;
a d;0;
d j;0;
j t;0;
t ragr;0;
plus;72;de(16)|constatation(14)|ouvrage(12)|assainissement(10)|peut(8)|de l(7)|uplan(7)|tre(7)|constatation peut(7)|peut tre(7)
sente;90;constatation(8)|pas(6)|infrastructure(6)|photo(4)|de(4)|cette(4)|car(4)|cette constatation(4)|en(4)|pour(3)
rn9;1;
plus pr;0;
sente du;0;
du c;0;
t rn9;0;
rence;13;
serrage;5;
diff rence;0;
hauteur de;0;
de 7;0;
7 mm;9;suspicion(2)|de(1)|rag(1)|de rag(1)
mm entre;0;
les plaques;0;
de serrage;0;
pile;41;non(8)|migr(6)|de(4)|sup(4)|non sup(4)|dans(3)|caisson(3)|migr dans(3)|dans caisson(3)|non migr(3)
la pile;0;
pile nord;0;
nord parement;0;
parement ext;0;
ext rieur;1;
surfacique;4;
fissuration surfacique;0;
lokal l;0;
gerissen vereinzelt;0;
auch netzartigen;0;
beginn;16;
ecke zu;0;
zu beginn;0;
beginn der;0;
gelmauern seite;0;
abgefallen;1;
dienen;2;
not;16;supprim(2)|aucun(1)|probl(1)|me(1)|avec(1)|ce(1)|feu(1)|clignotant(1)|cette(1)|constatation(1)
kolkschutz;6;bis(2)|zu(2)|bis zu(2)|rissbreite(1)|40(1)|mm(1)|und(1)|rissl(1)|ngen(1)|600(1)
f;4147;de(224)|sup(126)|fissures(114)|non(112)|0(103)|non sup(102)|3mm(83)|et(73)|fissures de(72)|d(68)
schiessenden;2;
wasserlauf;2;kanalreinigungsunternehmer(2)|wurde(1)|durch(1)|weggepumpt(1)|wurde durch(1)|kanalreinigungsunternehmer weggepumpt(1)
gelmauern sind;0;
sind abgefallen;0;
abgefallen und;0;
und dienen;0;
dienen als;0;
als not;0;
not kolkschutz;0;
f r;0;
r den;0;
schiessenden wasserlauf;0;
bordure;46;d(6)|de(6)|la(4)|calcaire(3)|traces(3)|de calcaire(3)|depuis(3)|constatation(3)|avec(3)|intervention(3)
autour;14;difficile(6)|chauss(4)|situ(2)|entre(2)|les(2)|deux(2)|e(2)|d(2)|acc(2)|s(2)
grilles;22;ouvrage(3)|d(2)|de(2)|l(2)|de l(2)|r(2)|par(2)|r par(2)|venue(1)|eau(1)
tation en;0;
en bordure;0;
bordure et;0;
et autour;0;
autour des;0;
des grilles;0;
auch nach;0;
instandsetzung vereinzelt;0;
vereinzelt vorhanden;0;
bombement;3;constatation(2)|oi(2)|cette(1)|ne(1)|concerne(1)|plus(1)|cet(1)|car(1)|il(1)|a(1)
farbanstrichs;2;
abgedruckt;1;
6;91;0(4)|fissures(3)|und(3)|intervention(3)|de(3)|conservation(3)|la(3)|lessivage(3)|sind(2)|kanalreinigungsunternehmer(2)
risse kleiner;0;
kleiner als;0;
als 0;0;
0 6;0;
6 mm;14;
lokal aus;0;
aus fugen;0;
oder bei;0;
bei mauerentw;0;
zubetoniert;10;sichtbar(1)|durch(1)|ausfl(1)|sse(1)|unten(1)|sichtbar durch(1)|durch ausfl(1)|ausfl sse(1)|sse unten(1)|setzungen(1)
fugen wurden;0;
wurden zubetoniert;0;
zubetoniert wasserf;0;
clat avec;0;
apparente et;0;
et corrod;0;
armatures corrod;0;
daher;3;
meist aufgrund;0;
aufgrund zu;0;
berdeckung daher;0;
daher auch;0;
netzrisse mit;0;
0 1;0;
mm evtl;0;
evtl erste;0;
erste anzeichen;0;
von aar;0;
kiesnester schlecht;0;
localement fissur;0;
2 clats;0;
clats sans;0;
tiges;98;0(5)|betr(4)|gt(4)|rissbreite(4)|betr gt(4)|bernommen(3)|hi(3)|2024(3)|hi 2024(3)|rissl(3)
fixation;19;
tordues;1;
tiges de;0;
de fixation;0;
fixation tordues;0;
ckenbogens;2;
des br;0;
chenhafte;2;zur(1)|zeit(1)|der(1)|inspektion(1)|starke(1)|regenf(1)|lle(1)|zur zeit(1)|zeit der(1)|der inspektion(1)
tropfwasser;6;zur(1)|zeit(1)|der(1)|inspektion(1)|starke(1)|regenf(1)|lle(1)|zur zeit(1)|zeit der(1)|der inspektion(1)
chenhafte nassstelle;0;
mit tropfwasser;0;
tropfwasser aus;0;
fugen bis;0;
mm in;0;
kante;24;und(2)|bewehrungsgrads(2)|verletzungsgefahr(2)|bei(2)|unterhaltsarbeiten(2)|harbeiten(2)|wahrscheinlich(1)|infolge(1)|verschiedener(1)|schwindverhalten(1)
betonrohr;5;
der kante;0;
kante vom;0;
vom betonrohr;0;
raccord;31;raccords(4)|de(4)|d(4)|les raccords(4)|raccords ne(4)|ne(3)|tanch(3)|inspection(3)|les(2)|montrent(2)
grad;39;la(2)|matiquement(2)|localement(2)|sur(1)|toute(1)|hauteur(1)|sur toute(1)|toute la(1)|la hauteur(1)|syst(1)
raccord avec;0;
tement localement;0;
d grad;0;
type;18;
fa;594;de(94)|sup(42)|de l(37)|la(35)|d(34)|ouvrage(32)|l(31)|en(31)|e(28)|non(28)
de type;0;
type fa;0;
fa en;0;
en age;0;
ausbr;46;kohleeinlagen(2)|diverse(1)|holz(1)|und(1)|vorhanden(1)|diverse holz(1)|holz und(1)|kohleeinlagen vorhanden(1)|insgesamt(1)|bei(1)
mauerwerkssteinen;3;
ausbr che;0;
che von;0;
ausgebrochen;11;ngsrisse(2)|bis(2)|unterhalb(2)|l(1)|15(1)|30(1)|cm(1)|der(1)|mauerkrone(1)|rissl(1)
fugenm rtel;0;
rtel ausgebrochen;0;
ausgebrochen vereinzelt;0;
auch wenige;0;
wenige mauerwerkssteine;0;
l cher;0;
rtelfugen und;0;
ganze betonoberfl;0;
che leicht;0;
leicht por;0;
pflanzen;24;
sohle;27;
pflanzen und;0;
moos bewuchs;2;
bewuchs auf;0;
der sohle;0;
sohle vom;0;
drainagerohr;2;
neben;39;abplatzung(1)|liegt(1)|oberhalb(1)|des(1)|maximalen(1)|wasserspiegels(1)|abplatzung liegt(1)|liegt oberhalb(1)|oberhalb des(1)|des maximalen(1)
drainagerohr gebrochen;0;
gebrochen und;0;
neben dem;0;
dem rohr;0;
teilweise leicht;0;
leicht verstopfte;0;
verstopfte entw;0;
sserung durch;0;
und bewuchs;0;
abondante;2;
directs;1;
sortie;8;
obstru;8;
tat;608;constatation(48)|cette constatation(39)|supprim(38)|de(33)|cette(30)|tre(29)|peut(27)|constatation peut(27)|peut tre(27)|tre supprim(27)
une v;0;
tation abondante;0;
abondante est;0;
est pr;0;
sente aux;0;
abords directs;0;
directs de;0;
la sortie;0;
sortie de;0;
pas obstru;0;
e en;0;
en l;5;
l tat;0;
ponctuel;76;suspicion(2)|de(2)|recouvertes(2)|sur(2)|recouvertes sur(2)|la(2)|protection(2)|enrobage(2)|armature(2)|rag(1)
peinture;14;
protection;78;assainissement(12)|ouvrage(12)|de(8)|de la(7)|uplan(7)|difficile(6)|l(6)|dans(6)|le(6)|martigny(6)
caillage ponctuel;0;
ponctuel de;0;
la peinture;0;
peinture de;0;
in ca;0;
50 der;0;
auch ausbr;0;
von steinquader;0;
steinquader sonst;0;
sonst diverse;0;
moosbildung;3;
untersicht;25;bei(1)|allen(1)|bei allen(1)
lokale moosbildung;0;
der untersicht;0;
untersicht des;0;
fahrbahn;34;funktionstauglich(2)|nicht(1)|mehr(1)|nicht mehr(1)
starke unebenheiten;0;
der fahrbahn;0;
fahrbahn stehendes;0;
mauerfussbereich;1;
tzmauer ist;0;
ist vermehrt;0;
vermehrt im;0;
aber lokal;0;
mauer mit;0;
mit pflanzen;0;
pflanzen bewachsen;0;
identifi;38;
verticale avec;0;
avec pr;0;
trame identifi;0;
formation du;0;
du mur;0;
l il;0;
il nu;0;
betonwand;4;
bersteilten;1;
anzug;1;
obere betonwand;0;
betonwand ist;0;
ist ca;0;
ca 8;0;
8 cm;0;
verschoben worden;0;
worden und;0;
der verschiebung;0;
einen bersteilten;0;
bersteilten anzug;0;
anzug auf;0;
verformte;10;
steink;8;
rbe;45;korrosionsschutz(3)|entretien(3)|bernommen(2)|hi(2)|2024(2)|hi 2024(2)|unproblematisch(2)|fundamente(2)|als(2)|l(2)
verformte steink;0;
steink rbe;0;
kippen;1;
gabionenw;1;
kippen der;0;
der gabionenw;0;
gabionenw nde;0;
fehlerhafter;1;
infolge fehlerhafter;0;
fehlerhafter ausf;0;
ausf hrung;0;
sehr feucht;0;
feucht und;0;
und mit;0;
mit moos;0;
moos berwachsen;0;
str;132;constatation(9)|pas(8)|de(7)|infrastructure(6)|d(5)|le(5)|du(4)|pr(4)|sents(4)|pr sents(4)
ucher;19;nur(1)|von(1)|oben(1)|zug(1)|nglich(1)|nur von(1)|von oben(1)|oben zug(1)|zug nglich(1)
str ucher;0;
grossmehrheitlich;3;
einzelne;27;ingesamt(4)|stk(3)|verschiebung(2)|ca(2)|ingesamt ca(2)|zusatzwinkel(2)|insgesamt 6(2)|im(1)|gleichen(1)|sehr(1)
grossmehrheitlich kleiner;0;
kleiner 0;0;
mm einzelne;0;
einzelne bis;0;
kabelschutzrohre;1;
rohrverbindungen;2;
kabelschutzrohre rohrverbindungen;0;
gel st;0;
angerostete teile;0;
metallteile;2;
umliegenden;2;
metallteile und;0;
rostflecken und;0;
umliegenden beton;0;
leicht angerostete;0;
abgen;2;
tzt;66;die(1)|mauerentw(1)|sserung(1)|verl(1)|uft(1)|bis(1)|zu(1)|1(1)|4(1)|m(1)
fahrrinnenbildung;1;
fahrspuren;2;
belag abgen;0;
abgen tzt;1;
und beginn;0;
beginn von;0;
auf beiden;0;
beiden fahrspuren;0;
effacer;19;de(3)|fissuration(2)|largeur(2)|1(2)|pour(1)|nous(1)|il(1)|n(1)|y(1)|a(1)
constat constatation;0;
constatation effacer;0;
frostlinsen;2;
frostlinsen und;0;
widerlager;49;infolge(1)|des(1)|undichten(1)|fahrbahn(1)|berganges(1)|infolge des(1)|des undichten(1)|undichten fahrbahn(1)|fahrbahn berganges(1)
ber widerlager;0;
schalungselement;1;
bei sichtbarem;0;
sichtbarem schalungselement;0;
schalungselement bergang;0;
num;3;
ro;1983;de(97)|non(52)|sup(50)|non sup(47)|et(44)|0(39)|d(36)|fissures(33)|3mm(31)|la(28)
303;2;
difficilement;2;
inspectable;3;
seul;2;
accessible;5;ouvrage(4)|aucun(2)|impact(2)|sur(2)|la(2)|statique(2)|de(2)|l(2)|aucun impact(2)|impact sur(2)
faudrait;1;
nacelle;1;
inspecter;131;pas(6)|constatation(6)|infrastructure(6)|du(5)|de(5)|non(4)|en(4)|d(4)|migr(3)|non migr(3)
reste;15;
ouvrage avec;0;
le num;0;
num ro;0;
ro 303;0;
303 est;0;
difficilement inspectable;0;
inspectable depuis;0;
depuis le;0;
haut seul;0;
seul les;0;
les c;0;
s sont;0;
sont accessible;0;
il faudrait;0;
faudrait une;0;
une nacelle;0;
nacelle pour;0;
pour inspecter;0;
le reste;0;
reste de;0;
venu;66;de(29)|corrosion(27)|armatures(27)|efflorescences(19)|en(19)|la(15)|de la(13)|d(12)|a(12)|surface(11)
avec venu;0;
venu de;0;
usure;23;fection(2)|r(1)|du(1)|rev(1)|tement(1)|fection du(1)|du rev(1)|rev tement(1)
perte;10;
mat;625;de(75)|sup(56)|non(50)|non sup(49)|fissures(36)|0(34)|3mm(34)|et(32)|fissures de(28)|longueur(28)
riaux;4;
gradation usure;0;
usure du;0;
du rev;0;
tement importante;0;
importante perte;0;
perte de;0;
de mat;0;
mat riaux;0;
aussi;198;aar(15)|mit(10)|f(9)|r(9)|typisches(9)|rissbild(9)|f r(9)|r aar(9)|aar typisches(9)|typisches rissbild(9)
certaines;42;supprim(4)|constatation(3)|peut(2)|tre(2)|e(2)|constatation peut(2)|peut tre(2)|tre supprim(2)|la(1)|cette(1)
clatement;91;de(11)|l(7)|d(7)|de la(6)|e(5)|armature(4)|la(4)|fissures(4)|rieures(4)|0(4)
avec v;0;
tation aussi;0;
aussi certaines;0;
certaines endroits;0;
des clatement;0;
verticaux;1;
verticaux entre;0;
entre 1;0;
1 et;0;
et 2;0;
ral;112;de(8)|constatation(8)|pas(6)|infrastructure(6)|d(4)|carbonate(3)|photos(3)|pour(3)|cette(3)|car(3)
placement lat;0;
lat ral;0;
autoroute;3;
face ext;0;
rieure et;0;
et face;0;
face autoroute;0;
fauts;123;de(9)|reconstruit(6)|surface(5)|en(5)|des(5)|d(4)|le(4)|s(4)|armature(4)|vacuation(4)
syst;223;de(4)|collecteur(4)|d(3)|ouvrage(3)|der(2)|accumulation(2)|eau(2)|d eau(2)|la(2)|l(2)
vacuation;23;de(4)|collecteur(4)|d(3)|ouvrage(3)|accumulation(2)|eau(2)|dans(2)|d eau(2)|la(2)|l(2)
d fauts;0;
fauts au;0;
du syst;0;
syst me;0;
me d;0;
vacuation des;0;
des eaux;0;
eaux du;0;
stagnante;1;
eau stagnante;0;
bruchsteinmauer;8;
bemerkbar;1;
an dem;0;
dem verlauf;0;
und den;0;
den rissen;0;
der krone;0;
krone bemerkbar;0;
betonkonsole;2;
mehrere ber;0;
ber 10;0;
10 stellen;0;
stellen durchgehende;0;
betonkonsole entlang;0;
mauer rissbreite;0;
durchgehend durch;0;
durch die;0;
die 30;0;
nordseite;2;
abgebrochener teil;0;
mauer auf;0;
der nordseite;0;
lose steine;0;
steine an;0;
an mehreren;0;
mehreren stellen;0;
stellen der;0;
bruchsteinmauer meist;0;
meist f;0;
f llsteine;0;
belagsfenster;4;por(4)|untergrund(4)|por sem(4)|keine(2)|haftung(2)|auf(2)|sem(2)|l(2)|chrig(2)|und(2)
laboruntersuchungen;4;por(4)|untergrund(4)|por sem(4)|keine(2)|haftung(2)|auf(2)|sem(2)|l(2)|chrig(2)|und(2)
but;59;de(30)|non(30)|sup(30)|non sup(30)|fissures(19)|0(19)|3mm(19)|largeur(15)|et(15)|longueur(15)
d but;0;
but de;0;
marqu;16;de(2)|la(2)|condensation(2)|de la(2)|vraisemblablement(2)|rieures(2)|ventuellement(2)|et(2)|probablement(1)|dues(1)
accumulation;2;
plus marqu;0;
marqu vers;0;
zone avec;0;
avec accumulation;0;
d eau;0;
verticales inf;0;
modification;17;
substance;25;
cr;88;constatation(6)|supprim(6)|cette(5)|e(5)|cette constatation(5)|de(4)|tre(4)|pu tre(4)|d(4)|peut(3)
cr ation;335;de(14)|constatation(10)|ce(5)|relev(5)|peut(5)|tre(5)|effac(5)|ce relev(5)|relev de(5)|constatation peut(5)
ation d;0;
un l;0;
ment par;0;
par pile;0;
scell;12;
fissures scell;0;
scell es;0;
rieure 1mm;0;
longitudinales ouverture;0;
morceaux;17;perte(3)|d(3)|adh(3)|rence(3)|du(3)|rev(3)|tement(3)|perte d(3)|d adh(3)|adh rence(3)
tachent;21;perte(3)|d(3)|adh(3)|rence(3)|du(3)|rev(3)|tement(3)|perte d(3)|d adh(3)|adh rence(3)
clats ruptures;0;
ruptures et;0;
et morceaux;0;
morceaux qui;0;
qui se;0;
axe;9;
verticale dans;0;
dans l;0;
l axe;0;
axe de;0;
gros;63;constatation(3)|supprim(2)|funktionstauglich(2)|von(2)|hi(2)|2024(2)|bernommen(2)|von hi(2)|hi 2024(2)|2024 bernommen(2)
gros d;0;
faut d;0;
it cul;0;
e pleine;0;
pleine d;0;
car;63;de(26)|ouvrage(25)|d(21)|l(19)|fortement(17)|e(17)|de l(17)|partie(14)|venue(13)|eau(13)
it car;0;
car fortes;0;
fortes infiltrations;0;
infiltrations dans;0;
durant;1;
constat durant;0;
l inspection;0;
inspection 2022;0;
mm maxi;0;
injurieux;3;
tr s;0;
ponctuelles ouverture;0;
avec ponctuellement;0;
ponctuellement armatures;0;
sactivation;1;rifier(3)|v(1)|l(1)|tat(1)|de(1)|service(1)|l tat(1)|tat de(1)|de service(1)
tuyaux;11;rifier(3)|pas(3)|le(3)|inspection(3)|raccord(3)|l(2)|tat(2)|de(2)|ne(2)|il(2)
de tuyaux;0;
ts et;0;
fissure ouverture;0;
0 5mm;0;
5mm voir;0;
1mm localement;0;
traces ponctuelles;0;
calcaire en;0;
t mur;0;
de cul;0;
e ragr;0;
ages fissur;0;
fissur s;0;
affaissement;4;
local;160;de(18)|corrosion(17)|efflorescences(16)|armatures(14)|en(10)|et(10)|d(10)|surface(8)|taches(8)|rouille(8)
transversale;59;fissures(20)|de(20)|sup(14)|0(14)|fissures de(14)|3mm(12)|non(9)|non sup(9)|vraisemblablement(8)|et(8)
affaissement local;0;
local du;0;
tement avec;0;
avec fisuration;0;
fisuration transversale;0;
ouverture environ;0;
gale;46;suspicion(4)|de(3)|rag(2)|de rag(2)|avec(1)|trace(1)|rouille(1)|avec trace(1)|trace de(1)|de rouille(1)
rieure ou;0;
ou gale;0;
gale 0;0;
0 2mm;0;
ancien;41;rhabillage(6)|en(4)|surface(4)|en surface(4)|effectu(3)|surface effectu(3)|traces(2)|de(2)|commence(2)|des(1)
g res;0;
res traces;0;
ancien clats;0;
clats ont;0;
t r;0;
r par;0;
par s;0;
boulon;7;
collier;1;
manquant;20;
boulon de;0;
serrage du;0;
du collier;0;
collier manquant;0;
repar;8;orientation(1)|treillis(1)|orientation treillis(1)
joint trace;0;
de venue;0;
eau ancienne;0;
ancienne repar;0;
ages r;0;
1m;77;suspicion(2)|ponctuellement(2)|rieure(2)|de(1)|rag(1)|de rag(1)|ouverture(1)|sup(1)|0(1)|3(1)
3mm trame;0;
trame sup;0;
trame environ;0;
rieure 50cm;0;
50cm ouverture;0;
refaits;15;
acceptable;2;
joints aux;0;
refaits joint;0;
joint central;0;
en tat;0;
tat acceptable;0;
correct;2;
central correct;0;
stellen an;0;
an ca;0;
ca 30cm;0;
div;184;aar(6)|risse(4)|mit(4)|einem(4)|f(4)|r(4)|typisches(4)|rissbild(4)|risse mit(4)|mit einem(4)
div pflanzen;0;
seitlichen;15;
deckenrand;4;
einem 1;0;
seitlichen deckenrand;0;
infolge korrosion;0;
belagsfl;2;
spurrinnen und;0;
der ganzen;0;
ganzen belagsfl;0;
belagsfl che;0;
kante an;0;
mitte der;0;
mauerkrone und;0;
ndern;1;
mehrere abplatzungen;0;
an den;0;
den r;0;
r ndern;0;
ndern der;0;
bewehrungungen;1;
wandoberfl;6;
der wandoberfl;0;
wandoberfl che;0;
che und;0;
und an;0;
lokal angerostete;0;
rostspuren abplatzungen;0;
infolge geringer;0;
geringer beton;0;
ostseite;3;
bewehrung auf;0;
decke auf;0;
der ostseite;0;
schlamm;6;
belagsentw;12;zahlreiche(1)|mit(1)|ausbr(1)|chen(1)|durch(1)|lkw(1)|evtl(1)|schon(1)|besch(1)|digungen(1)
schlamm ansammlung;0;
ansammlung schlechte;0;
schlechte belagsentw;0;
belagsentw sserung;0;
