Description_Cluster;Count;Associated_Comment_Clusters
calcaire;126;suspicion(10)|de(5)|rag(5)|de rag(5)|d(2)|sordres(2)|accentu(2)|au(2)|sont(2)|une(2)
joint rempli;0;
rempli de;0;
de d;0;
d p;0;
p t;0;
t de;0;
de calcaire;0;
constatation;162;constatation(22)|supprim(22)|cette(20)|tre(20)|cette constatation(20)|peut(19)|constatation peut(19)|peut tre(19)|tre supprim(19)|de(15)
non;266;de(32)|dans(25)|migr dans(19)|migr(18)|bordure(18)|refaite(18)|l(16)|de l(16)|uplan(15)|2020(15)
trouv;33;constatation(4)|d(4)|cette(3)|tre(3)|supprim(3)|cette constatation(3)|peut tre(3)|de(3)|la(3)|fonctionnalit(3)
e;7407;de(400)|d(147)|fissures(139)|sup(132)|non(131)|0(119)|la(117)|et(114)|l(114)|non sup(102)
non trouv;0;
trouv e;0;
aucune;24;constatation(13)|peut(8)|tre(8)|peut tre(8)|de(8)|constatation peut(7)|ce(6)|supprim(5)|relev(5)|effac(5)
fissure;988;de(148)|sup(110)|non(102)|fissures(100)|non sup(100)|0(80)|3mm(73)|fissures de(70)|et(63)|et de(55)
longitudinale;56;fissures(22)|0(17)|rieures(16)|de(13)|3mm(13)|fissures de(10)|3(10)|mm(10)|0 3(10)|et(9)
constat;312;constatation(40)|cette constatation(33)|supprim(26)|cette(24)|de(24)|tre(22)|peut(21)|constatation peut(21)|peut tre(21)|tre supprim(21)
aucune fissure;0;
fissure longitudinale;0;
longitudinale constat;0;
tassement;14;ouvrage(4)|aucun(2)|impact(2)|sur(2)|la(2)|statique(2)|de(2)|l(2)|aucun impact(2)|impact sur(2)
diff;25;pas(6)|constatation(6)|infrastructure(6)|de(3)|photos(3)|pour(3)|cette(3)|car(3)|le(3)|mur(3)
rentiel;4;
fissures dues;0;
dues au;0;
tassement diff;0;
diff rentiel;0;
bloc;40;durch(2)|betr(2)|gt(2)|betr gt(2)|sichtbar(1)|ausfl(1)|sse(1)|unten(1)|sichtbar durch(1)|durch ausfl(1)
tach;170;de(24)|d(23)|corrosion(21)|efflorescences(18)|armatures(14)|de l(11)|et(10)|l(10)|surface(10)|en(10)
bloc d;0;
d tach;0;
garde;10;
corps;10;
fectueux;15;
garde corps;0;
corps d;0;
porte;128;de(7)|d(6)|la(5)|de la(4)|carbonate(3)|l(3)|entretien(3)|particulier(3)|fonctionnalit(3)|suspicion(2)
fectueuse;12;
porte d;0;
importantes;67;d(4)|de(3)|entretien(3)|la(3)|fonctionnalit(3)|suspicion(2)|l(2)|automne(2)|teriore(2)|toutefois(2)
traces;322;suspicion(4)|d(4)|de(3)|rag(3)|en(3)|combiflex(3)|de rag(2)|caniques(2)|efflorescences(2)|non(2)
infiltrations;195;suspicion(4)|de(2)|rag(2)|de rag(2)
