Description_ngram;Count;PerMille;Associated_Comments
teilweise auch;30;0.5;
l inspection;30;0.5;
tr s;30;0.5;
5 cm;30;0.5;
sur les;30;0.5;
maillage irr;30;0.5;
g res;30;0.5;
syst me;29;0.48;
fissures horizontales;29;0.48;
irr gulier;29;0.48;
ches de;29;0.48;
den fugen;29;0.48;
an den;29;0.48;
non tanche;29;0.48;
se d;29;0.48;
ouv max;29;0.48;
ngsrisse mit;29;0.48;
en pied;29;0.48;
trame identifi;29;0.48;
fissure de;28;0.47;
des eaux;28;0.47;
fissures inf;28;0.47;
1 5;28;0.47;
im unteren;28;0.47;
de conservation;28;0.47;
mit s;28;0.47;
rissl nge;28;0.47;
zones humides;28;0.47;
de corrosion;28;0.47;
sans armature;28;0.47;
pied de;28;0.47;
d placement;28;0.47;
derni re;28;0.47;
0 mm;28;0.47;
1 mm;28;0.47;
la v;28;0.47;
05 2019;27;0.45;
en age;27;0.45;
aufgrund ungen;27;0.45;
fissuration de;27;0.45;
intervention de;27;0.45;
fissures transversales;27;0.45;
gale 0;27;0.45;
fissures 45;27;0.45;
betonoberfl che;27;0.45;
trace de;27;0.45;
niveau de;27;0.45;
infiltrations et;27;0.45;
fa en;27;0.45;
ou gale;27;0.45;
im oberen;27;0.45;
fissure verticale;27;0.45;
re inspection;27;0.45;
mm breit;27;0.45;
aufgrund feuchtigkeit;26;0.43;
20 cm;26;0.43;
der oberfl;26;0.43;
g n;26;0.43;
l ensemble;26;0.43;
qui se;26;0.43;
l ment;26;0.43;
pr sente;26;0.43;
bis 1;26;0.43;
infolge anprall;26;0.43;
der beschichtung;26;0.43;
rieure ou;26;0.43;
du rev;26;0.43;
joint d;26;0.43;
la derni;26;0.43;
apparentes et;26;0.43;
sch den;26;0.43;
einer rissbreite;26;0.43;
fissures treillis;26;0.43;
bewuchs in;26;0.43;
constatation est;26;0.43;
report e;26;0.43;
der instandsetzung;25;0.42;
sont visibles;25;0.42;
du d;25;0.42;
r e;25;0.42;
von bis;25;0.42;
der obersten;25;0.42;
korrosion der;25;0.42;
par e;25;0.42;
en t;25;0.42;
de b;25;0.42;
dalle inf;25;0.42;
0 6;25;0.42;
g re;25;0.42;
sup rieures;25;0.42;
la constatation;25;0.42;
zu erkennen;25;0.42;
l eau;24;0.4;
rahmen der;24;0.4;
risse mit;24;0.4;
g rement;24;0.4;
la prochaine;24;0.4;
im belag;24;0.4;
prochaine inspection;24;0.4;
max non;24;0.4;
ouverture probablement;24;0.4;
im rahmen;24;0.4;
entre les;24;0.4;
oberen bereich;24;0.4;
mur de;24;0.4;
der br;24;0.4;
clats avec;24;0.4;
estim e;24;0.4;
non mesurable;24;0.4;
dans l;24;0.4;
unteren bereich;24;0.4;
du caisson;24;0.4;
rissbreite ca;24;0.4;
bei der;24;0.4;
la protection;24;0.4;
aufgrund bewehrungskorrosion;24;0.4;
vacuation des;24;0.4;
6 mm;23;0.38;
d clat;23;0.38;
im fussbereich;23;0.38;
nom ne;23;0.38;
10 mm;23;0.38;
ph nom;23;0.38;
st tze;23;0.38;
lokale nassstelle;23;0.38;
ont t;23;0.38;
wenige;23;0.38;diverse holz(1)|holz und(1)|und kohleeinlagen(1)|kohleeinlagen vorhanden(1)
de gravier;23;0.38;
d vacuation;23;0.38;
form von;23;0.38;
ouverture sup;23;0.38;
2 m;23;0.38;
vereinzelte risse;23;0.38;
oberfl chliche;23;0.38;
mm und;23;0.38;
des joints;23;0.38;
in form;23;0.38;
et ne;23;0.38;
avec clatement;23;0.38;
corrosion des;23;0.38;
3mm trame;23;0.38;
der bewehrung;22;0.37;
pas report;22;0.37;
che der;22;0.37;
afin qu;22;0.37;
von rostflecken;22;0.37;
de calcite;22;0.37;
infolge bewehrungskorrosion;22;0.37;
fissures d;22;0.37;
ensemble de;22;0.37;
