Description_ngram;Count;PerMille;Associated_Comments
bei durchl;2;0.03;
starke verschmutzung;2;0.03;
verschiebung ist;2;0.03;
ung nstig;2;0.03;
wie sand;2;0.03;
und generell;2;0.03;
das dichtungsband;2;0.03;
dichtungsband in;2;0.03;
sand schlamm;2;0.03;
zwischen bodenplatte;2;0.03;
bodenplatte und;2;0.03;
schlamm etc;2;0.03;
nde hat;2;0.03;
sich mehrheitlich;2;0.03;
mehrheitlich abgel;2;0.03;
und leichte;2;0.03;
und in;2;0.03;
der vertiefung;2;0.03;
versintert bis;2;0.03;
rag sont;2;0.03;
centre du;2;0.03;
ces t;2;0.03;
humidit s;2;0.03;
sont principalement;2;0.03;
principalement l;2;0.03;
l intersection;2;0.03;
intersection de;2;0.03;
dalle avec;2;0.03;
terre plein;2;0.03;
cette carbonatation;2;0.03;
carbonatation coincide;2;0.03;
coincide avec;2;0.03;
due probablement;2;0.03;
probablement un;2;0.03;
un aspect;2;0.03;
friable avec;2;0.03;
localement au;2;0.03;
2 bis;2;0.03;
bis 40;2;0.03;
systematische risse;2;0.03;
risse querrisse;2;0.03;
joint ce;2;0.03;
mehrheitlich zwangsrisse;2;0.03;
verteilt auf;2;0.03;
richtung simplon;2;0.03;
mit steinen;2;0.03;
oder evtl;2;0.03;
devient friable;2;0.03;
wasser auf;2;0.03;
der schalungsbinder;2;0.03;
eine abplatzung;2;0.03;
biais avec;2;0.03;
rund um;2;0.03;
setzungen verschiebungen;2;0.03;
pr sumant;2;0.03;
durchlassrinne wurde;2;0.03;
lokaler ausbruch;2;0.03;
wurde durch;2;0.03;
keine fugenverf;2;0.03;
fugenverf llung;2;0.03;
llung vorhanden;2;0.03;
zwischen 0;2;0.03;
dem einlaufrohr;2;0.03;
und 0;2;0.03;
mm risse;2;0.03;
br stungsmauer;2;0.03;
mm bis;2;0.03;
bewuchs vor;2;0.03;
weist auf;2;0.03;
joint devient;2;0.03;
ein rohr;2;0.03;
des korrosionsschutzes;2;0.03;
inspection du;2;0.03;
fissures sans;2;0.03;
auf s;2;0.03;
par suintement;2;0.03;
tation localement;2;0.03;
und stellenweise;2;0.03;
belagsrisse netzrisse;2;0.03;
verticale dans;2;0.03;
mit kornausbr;2;0.03;
kornausbr chen;2;0.03;
plupart avec;2;0.03;
fissures globalement;2;0.03;
joints;2;0.03;assainissement du(2)|du parapet(2)|parapet avec(2)|avec du(2)|du mortier(2)|mortier en(2)|en 2018(2)|2018 par(2)|par l(2)|l entreprise(2)|entreprise vaudan(2)|vaudan sa(2)|tat plus(1)|plus d(1)|d t(1)|t rior(1)|rior depuis(1)|depuis la(1)|la derni(1)|derni re(1)|re inspection(1)|armatures apparentes(1)|apparentes et(1)|et corrod(1)|corrod es(1)|modification de(1)|de la(1)|la substance(1)|localement vers(1)|vers la(1)|la zone(1)|zone centrale(1)|centrale c(1)|c t(1)|t martigny(1)
t effectu;2;0.03;
tzmauer sind;2;0.03;
ngsrisse infolge;2;0.03;
f hren;2;0.03;
chlich im;2;0.03;
netzrisse trocken;2;0.03;
stahlst tzen;2;0.03;
gebrochene bewehrung;2;0.03;
weist lose;2;0.03;
dreiecksnetz wurde;2;0.03;
globalement importante;2;0.03;
an vielen;2;0.03;
vielen stellen;2;0.03;
bonne qualit;2;0.03;
sens de;2;0.03;
chaque 1;2;0.03;
sens transversal;2;0.03;
de sable;2;0.03;
rupture d;2;0.03;
importante tr;2;0.03;
max 3mm;2;0.03;
bles en;2;0.03;
trame identifiable;2;0.03;
identifiable avec;2;0.03;
elastom re;2;0.03;
la direction;2;0.03;
rement de;2;0.03;
de chauve;2;0.03;
horizontales et;2;0.03;
et verticales;2;0.03;
entre l;2;0.03;
ment m;2;0.03;
tallique de;2;0.03;
chauve souris;2;0.03;
changement de;2;0.03;
eisen im;2;0.03;
voire fracture;2;0.03;
fonctionnement de;2;0.03;
kiesnester aufgrund;2;0.03;
aufsteigende feuchtigkeit;2;0.03;
2mm pas;2;0.03;
des glissi;2;0.03;
1mm plus;2;0.03;
visibles et;2;0.03;
mm surface;2;0.03;
stalactites sur;2;0.03;
mm fissures;2;0.03;
fissures majoritairement;2;0.03;
majoritairement verticales;2;0.03;
mauer und;2;0.03;
oi sera;2;0.03;
der halbschalen;2;0.03;
poteau ipe;2;0.03;
rinne zwischen;2;0.03;
einlaufbauwerk und;2;0.03;
mit rostspuren;2;0.03;
dem sammeltrichter;2;0.03;
locale de;2;0.03;
ancrage pas;2;0.03;
pas suffisamment;2;0.03;
suffisamment serr;2;0.03;
unterhaltsstrasse ersetzt;2;0.03;
che abplatzungen;2;0.03;
ca max;2;0.03;
surface reste;2;0.03;
im inneren;2;0.03;
und daraus;2;0.03;
daraus resultierende;2;0.03;
der schlechten;2;0.03;
plus localement;2;0.03;
clats;2;0.03;aucune photo(5)|photo des(5)|des ces(5)|ces constatations(5)|constatations disponibles(5)|disponibles car(5)|car ne(5)|ne sont(5)|sont pas(5)|pas visibles(5)|r par(2)|armature apparente(2)|apparente et(2)|et corrod(2)|corrod e(2)|e enrobage(2)|enrobage d(2)|d armature(2)|tat plus(1)|plus d(1)|d t(1)|t rior(1)|rior depuis(1)|depuis la(1)|la derni(1)|derni re(1)|re inspection(1)|armature insufisant(1)|armature insuffisant(1)|deux photos(1)|photos ont(1)|ont t(1)|t prises(1)|prises pour(1)|pour montrer(1)|montrer un(1)|un tat(1)|tat repr(1)|repr sentatif(1)|sentatif de(1)|de l(1)|l ouvrage(1)|ouvrage sans(1)|sans clats(1)
cution ou;2;0.03;
ou apr;2;0.03;
en service;2;0.03;
orientation en;2;0.03;
an regelm;2;0.03;
dilatationsfuge 3;2;0.03;
cution avec;2;0.03;
p6 p7;2;0.03;
kalkausscheidungen auf;2;0.03;
hungen kalkausscheidungen;2;0.03;
m s;2;0.03;
mortier li;2;0.03;
paisseur d;2;0.03;
ssigen abplatzungen;2;0.03;
oder rostflecken;2;0.03;
bewuchs und;2;0.03;
par pile;2;0.03;
s sous;2;0.03;
ment par;2;0.03;
console du;2;0.03;
bis 2mm;2;0.03;
hauban de;2;0.03;
de stabilisation;2;0.03;
ouverture w;2;0.03;
2mm vereinzelt;2;0.03;
re trace;2;0.03;
grilles ont;2;0.03;
tat lors;2;0.03;
la maintenance;2;0.03;
maintenance du;2;0.03;
tape de;2;0.03;
graffiti l;2;0.03;
de c;2;0.03;
de travail;2;0.03;
joints en;2;0.03;
zone avec;2;0.03;
bewuchs feststellbar;2;0.03;
feststellbar derzeitiger;2;0.03;
f llsteine;2;0.03;
derzeitiger bewuchs;2;0.03;
coulement des;2;0.03;
bewuchs ist;2;0.03;
e autour;2;0.03;
gaine la;2;0.03;
liaison avec;2;0.03;
ersetzt diese;2;0.03;
ist jedoch;2;0.03;
nur sp;2;0.03;
sp rlich;2;0.03;
rlich vorhanden;2;0.03;
vorhanden eine;2;0.03;
eine entfernung;2;0.03;
eclats;2;0.03;armature apparente(2)|apparente et(2)|et corrod(2)|corrod e(2)|e enrobage(2)|enrobage d(2)|d armature(2)|armature insufisant(1)|armature insuffisant(1)
aciers sont;2;0.03;
du rh;2;0.03;
rh ne;2;0.03;
entfernung ist;2;0.03;
ist derzeit;2;0.03;
derzeit noch;2;0.03;
t rive;2;0.03;
rive gauche;2;0.03;
fissure ponctuellement;2;0.03;
nicht notwendig;2;0.03;
vom absturzschacht;2;0.03;
steinschlag und;2;0.03;
localement de;2;0.03;
aile est;2;0.03;
vereinzelte steine;2;0.03;
obersten steinquaderreihe;2;0.03;
diese wurde;2;0.03;
der abplatzung;2;0.03;
verdrehung des;2;0.03;
des absturzschachtes;2;0.03;
nouveau b;2;0.03;
infiltration dans;2;0.03;
gel et;2;0.03;
mm a;2;0.03;
aus fb;2;0.03;
talliques en;2;0.03;
autre ouvrage;2;0.03;
hauteur fissures;2;0.03;
horizontales sur;2;0.03;
gauche du;2;0.03;
que possible;2;0.03;
est fissur;2;0.03;
fissure le;2;0.03;
l encrage;2;0.03;
encrage du;2;0.03;
hauban stabilisateur;2;0.03;
qualit du;2;0.03;
des banketts;2;0.03;
6 5;2;0.03;
r seau;2;0.03;
d connect;2;0.03;
kalkausscheidungen entlang;2;0.03;
wenige ca;2;0.03;
ca 70;2;0.03;
gravier ont;2;0.03;
t enti;2;0.03;
rement recouvert;2;0.03;
recouvert d;2;0.03;
une couche;2;0.03;
un nid;2;0.03;
4 m;2;0.03;
arr t;2;0.03;
durch ausbr;2;0.03;
1 6;2;0.03;
der oberseite;2;0.03;
sente constation;2;0.03;
schwindrisse auf;2;0.03;
aussparung des;2;0.03;
boden bis;2;0.03;
bewehrungskorrosion geringe;2;0.03;
m chtigkeit;2;0.03;
a 2mm;2;0.03;
die rinne;2;0.03;
obere lagerplatte;2;0.03;
wurde mit;2;0.03;
pas disponible;2;0.03;
environ 30;2;0.03;
wassersinterungen mehrheitlich;2;0.03;
ngsrisse in;2;0.03;
den arbeitsfugen;2;0.03;
nicht entfernt;2;0.03;
constation est;2;0.03;
longitudinales sont;2;0.03;
der westwand;2;0.03;
visibles au;2;0.03;
wassersinterungen unterhalb;2;0.03;
der nordseite;2;0.03;
rissen losen;2;0.03;
humidit est;2;0.03;
wassersinterungen meist;2;0.03;
sentes on;2;0.03;
peut l;2;0.03;
l observer;2;0.03;
observer dans;2;0.03;
partie au;2;0.03;
arr te;2;0.03;
tonnage qui;2;0.03;
pas recouverte;2;0.03;
recouverte par;2;0.03;
le nouveau;2;0.03;
longitudinales orientation;2;0.03;
verticale sont;2;0.03;
aile dans;2;0.03;
surface sans;2;0.03;
sans trace;2;0.03;
visible que;2;0.03;
les cloques;2;0.03;
meist unterhalb;2;0.03;
tement ont;2;0.03;
unterhalb rissen;2;0.03;
la pose;2;0.03;
rissen mauerentw;2;0.03;
e inspection;2;0.03;
oder steinen;2;0.03;
re ouverture;2;0.03;
max 1;2;0.03;
setzungen auch;2;0.03;
deutliche zwangsrisse;2;0.03;
setzungen ca;2;0.03;
setzungen erkennbar;2;0.03;
aber nicht;2;0.03;
nicht klar;2;0.03;
klar quantifizierbar;2;0.03;
verschiedenen rissbreiten;2;0.03;
relatif est;2;0.03;
est relev;2;0.03;
un des;2;0.03;
joints ce;2;0.03;
ce dernier;2;0.03;
dernier n;2;0.03;
d influence;2;0.03;
influence n;2;0.03;
gative sur;2;0.03;
joint qui;2;0.03;
infolge der;2;0.03;
b gelbewehrung;2;0.03;
orientation et;2;0.03;
absacken eines;2;0.03;
observ es;2;0.03;
signes de;2;0.03;
eines mauerteils;2;0.03;
mur c;2;0.03;
visibles ponctuellement;2;0.03;
re a;2;0.03;
cke bei;2;0.03;
abplatzungen sehr;2;0.03;
mauerteils von;2;0.03;
und ist;2;0.03;
einzelne rostflecken;2;0.03;
im ganzen;2;0.03;
rund 20;2;0.03;
oberste steinquaderreihe;2;0.03;
m setzungen;2;0.03;
folgend abplatzungen;2;0.03;
cm rissbreiten;2;0.03;
rissbreiten teilweise;2;0.03;
angerostete freiliegende;2;0.03;
wand ber;2;0.03;
folgend diverse;2;0.03;
mit geschiebematerial;2;0.03;
sind mehrere;2;0.03;
pas accessible;2;0.03;
rohrst ck;2;0.03;
probablement li;2;0.03;
au gonflement;2;0.03;
nach unten;2;0.03;
2mm certaines;2;0.03;
mauer rissbreite;2;0.03;
bei verankerungen;2;0.03;
geschiebematerial eingebettet;2;0.03;
bewehrungskorrosion rostflecken;2;0.03;
wahrscheinlich durch;2;0.03;
eingebettet so;2;0.03;
vermutlich infolge;2;0.03;
dilatationsfuge 1;2;0.03;
und 4;2;0.03;
feuchtestelle ber;2;0.03;
chaux g;2;0.03;
vom auslauf;2;0.03;
7 6;2;0.03;
undichtem entw;2;0.03;
fussbereich vereinzelte;2;0.03;
entw sserungsanschluss;2;0.03;
geschiebeablagerungen im;2;0.03;
3 4;2;0.03;
im durchlass;2;0.03;
dilatationsfuge 2;2;0.03;
mauern haben;2;0.03;
bei risse;2;0.03;
feucht teilweise;2;0.03;
vereinzelte freiliegende;2;0.03;
1 aufgrund;2;0.03;
die durchfahrt;2;0.03;
der betonkonsole;2;0.03;
welches an;2;0.03;
untersicht entlang;2;0.03;
entlang fliesst;2;0.03;
bei aussparungen;2;0.03;
rissen im;2;0.03;
fuge 9;2;0.03;
querrisse in;2;0.03;
st tzenecke;2;0.03;
tzen meistens;2;0.03;
meistens an;2;0.03;
st tzenecken;2;0.03;
infolge nassstelle;2;0.03;
einspannung in;2;0.03;
sich ungleichm;2;0.03;
in h;2;0.03;
h heren;2;0.03;
heren lagen;2;0.03;
9 8;2;0.03;
8 7;2;0.03;
ungleichm ig;2;0.03;
diverse hohlstellen;2;0.03;
einer breite;2;0.03;
breite von;2;0.03;
dilatationsfugen gelangt;2;0.03;
gelangt tropfwasser;2;0.03;
tropfwasser an;2;0.03;
auf bewehrungskorrosion;2;0.03;
ber wassernase;2;0.03;
wassernase gelangt;2;0.03;
gelangt wasser;2;0.03;
wasser an;2;0.03;
untersicht fliessspuren;2;0.03;
wasserf hrende;2;0.03;
hrende dilatationsfugen;2;0.03;
dilatationsfugen im;2;0.03;
auskragenden bereich;2;0.03;
viele risse;2;0.03;
abbr che;2;0.03;
frost ca;2;0.03;
mm anzeichen;2;0.03;
ig verschoben;2;0.03;
und daher;2;0.03;
verschoben ca;2;0.03;
ca 7;2;0.03;
stellen nur;2;0.03;
beton infolge;2;0.03;
0 9;2;0.03;
9 mm;2;0.03;
rev tements;2;0.03;
tements d;2;0.03;
rior trace;2;0.03;
cm setzungen;2;0.03;
mm d;2;0.03;
de carottage;2;0.03;
setzungen sind;2;0.03;
durchfahrt mit;2;0.03;
versintert ca;2;0.03;
fissures sont;2;0.03;
de scie;2;0.03;
scie dans;2;0.03;
nicht direkt;2;0.03;
coffrage lors;2;0.03;
ausf hrungsbedingter;2;0.03;
hrungsbedingter riss;2;0.03;
direkt erkennbar;2;0.03;
remarques d;2;0.03;
dans 1206;2;0.03;
systematische alle;2;0.03;
der belag;2;0.03;
des mittleren;2;0.03;
mit unterhaltsfahrzeugen;2;0.03;
mittleren zwangsrisses;2;0.03;
aufgrund setzungen;2;0.03;
clat en;2;0.03;
armature longitudinale;2;0.03;
sserungs ffnungund;2;0.03;
peu marqu;2;0.03;
ffnungund lokal;2;0.03;
1 2mm;2;0.03;
belag hat;2;0.03;
it combi;2;0.03;
combi flex;2;0.03;
cette remarque;2;0.03;
remarque devrait;2;0.03;
devrait tre;2;0.03;
tre dans;2;0.03;
oi trottoir;2;0.03;
le coin;2;0.03;
un peu;2;0.03;
peu moins;2;0.03;
sich aufgestockt;2;0.03;
bien vibr;2;0.03;
unterhaltsfahrzeugen ohne;2;0.03;
t des;2;0.03;
aufgestockt ev;2;0.03;
it au;2;0.03;
non fonctionnelle;2;0.03;
combiflex d;2;0.03;
ev setzung;2;0.03;
dont une;2;0.03;
au d;2;0.03;
tement a;2;0.03;
de cloques;2;0.03;
infiltrations provenant;2;0.03;
setzung infolge;2;0.03;
50m avec;2;0.03;
gender verdichtung;2;0.03;
clats au;2;0.03;
setzungen eines;2;0.03;
mehrere kalkausscheidungen;2;0.03;
und konsolkopf;2;0.03;
und fehlende;2;0.03;
n gatif;2;0.03;
eines elements;2;0.03;
traces laissant;2;0.03;
laissant pr;2;0.03;
pr sumer;2;0.03;
sumer une;2;0.03;
une pr;2;0.03;
paisseur maximale;2;0.03;
elements von;2;0.03;
vement de;2;0.03;
ohne einschr;2;0.03;
einschr nkung;2;0.03;
clat sur;2;0.03;
enrob d;2;0.03;
rioration autour;2;0.03;
zwei steinquader;2;0.03;
steinquader sind;2;0.03;
pas constat;2;0.03;
deux derni;2;0.03;
res inspections;2;0.03;
inspections supprimer;2;0.03;
aile par;2;0.03;
au mur;2;0.03;
den bogenmauerwerks;2;0.03;
bogenmauerwerks fugen;2;0.03;
fugen unter;2;0.03;
d volution;2;0.03;
mm orientation;2;0.03;
car vide;2;0.03;
verschiebung evtl;2;0.03;
enrob aux;2;0.03;
angles du;2;0.03;
du cadre;2;0.03;
evtl verkippung;2;0.03;
s probablement;2;0.03;
chige kalkausscheidung;2;0.03;
kalkausscheidung zentral;2;0.03;
zentral unter;2;0.03;
leichte kalkausscheidung;2;0.03;
in arbeitsfuge;2;0.03;
spurinnen und;2;0.03;
unebenheiten der;2;0.03;
steinquader von;2;0.03;
mauer ausgebrochen;2;0.03;
ste steinquader;2;0.03;
aus br;2;0.03;
br ckenmauerwerk;2;0.03;
ste mauersteine;2;0.03;
mauersteine aus;2;0.03;
der mauerwerksfuge;2;0.03;
nkung erfolgen;2;0.03;
verschiebung bauchung;2;0.03;
bauchung der;2;0.03;
bruchsteinmauer obere;2;0.03;
obere steinreihe;2;0.03;
steinreihe mit;2;0.03;
mit lokalen;2;0.03;
lokalen ausbr;2;0.03;
verschiebung verdrehung;2;0.03;
obersten steireihen;2;0.03;
steireihen an;2;0.03;
rund 8;2;0.03;
evtl lose;2;0.03;
steinquader vorhanden;2;0.03;
lokaler bewuchs;2;0.03;
durch moos;2;0.03;
rissbild teilweise;2;0.03;
moos gr;2;0.03;
den in;2;0.03;
strasse ber;2;0.03;
ber bauwerk;2;0.03;
sern b;2;0.03;
der ustr;2;0.03;
ustr vor;2;0.03;
umen etc;2;0.03;
in mauerfugen;2;0.03;
tunneldecke beim;2;0.03;
beim tunnelbeginn;2;0.03;
baumbest nde;2;0.03;
und steine;2;0.03;
steine auf;2;0.03;
auf strasse;2;0.03;
der mauerwerksfugen;2;0.03;
mauerwerksfugen der;2;0.03;
der seitenwand;2;0.03;
fugen des;2;0.03;
br ckenmauerwerkes;2;0.03;
weitere risse;2;0.03;
cher beim;2;0.03;
beim belag;2;0.03;
belag ber;2;0.03;
und loch;2;0.03;
loch im;2;0.03;
3mm risse;2;0.03;
teilweise gelbbildung;2;0.03;
gelbbildung in;2;0.03;
abplatzung komplette;2;0.03;
komplette aufl;2;0.03;
aufl sung;2;0.03;
sind leichte;2;0.03;
im block;2;0.03;
lokal lose;2;0.03;
rtelfugen vorhanden;2;0.03;
nur im;2;0.03;
beton teilweise;2;0.03;
bis auf;2;0.03;
nr 1;2;0.03;
zwischen mittelwand;2;0.03;
mittelwand und;2;0.03;
se betonoberfl;2;0.03;
reprofilierungen wurden;2;0.03;
beeintr chtigung;2;0.03;
chtigung der;2;0.03;
der funktion;2;0.03;
spr de;2;0.03;
de und;2;0.03;
ralis mais;2;0.03;
geringe lokale;2;0.03;
lokale korrosionsspuren;2;0.03;
transport de;2;0.03;
vom rechen;2;0.03;
10 stellen;2;0.03;
stelle aufgrund;2;0.03;
mit stark;2;0.03;
mais concentr;2;0.03;
ngsrisse auf;2;0.03;
concentr proche;2;0.03;
gend verdichtet;2;0.03;
abrasion de;2;0.03;
beton ausgewaschener;2;0.03;
beton im;2;0.03;
fussbereich resp;2;0.03;
resp im;2;0.03;
digung der;2;0.03;
der zinkverkleidung;2;0.03;
zinkverkleidung und;2;0.03;
und beginnende;2;0.03;
surface en;2;0.03;
bewehrung bei;2;0.03;
beim mauerknick;2;0.03;
unter mauerkrone;2;0.03;
mm zwangsrisse;2;0.03;
ber 10;2;0.03;
u a;2;0.03;
sente dans;2;0.03;
von einem;2;0.03;
ausgesandeter belag;2;0.03;
belag tiefe;2;0.03;
tiefe 5;2;0.03;
aber wieder;2;0.03;
erfolgen kann;2;0.03;
nge des;2;0.03;
beschichtung abgel;2;0.03;
beschichtung gel;2;0.03;
ausmass ca;2;0.03;
gem ss;2;0.03;
de jointoiement;2;0.03;
joints pr;2;0.03;
mit folgesch;2;0.03;
fissures ainsi;2;0.03;
que de;2;0.03;
t pos;2;0.03;
pos sur;2;0.03;
bis stark;2;0.03;
stark verfault;2;0.03;
rouille visible;2;0.03;
in oberster;2;0.03;
bordure les;2;0.03;
fissures ne;2;0.03;
teilweise risse;2;0.03;
kann das;2;0.03;
und gerissene;2;0.03;
gerissene m;2;0.03;
du bassin;2;0.03;
carbonatation et;2;0.03;
condensation de;2;0.03;
la vapeur;2;0.03;
vapeur d;2;0.03;
zones froides;2;0.03;
froides de;2;0.03;
et sont;2;0.03;
zones pr;2;0.03;
pr sentant;2;0.03;
treillis localement;2;0.03;
le parement;2;0.03;
ponctuelles en;2;0.03;
n ralement;2;0.03;
cm breiter;2;0.03;
einem versatz;2;0.03;
bassin d;2;0.03;
fundaments rissbreiten;2;0.03;
l autoroute;2;0.03;
vertikale klaffende;2;0.03;
couvert de;2;0.03;
durchgehender l;2;0.03;
die im;2;0.03;
rissen an;2;0.03;
im anschluss;2;0.03;
10 max;2;0.03;
rissbreite vereinzelt;2;0.03;
breit versatz;2;0.03;
steinschlag verursachte;2;0.03;
verursachte sch;2;0.03;
an mauerkrone;2;0.03;
st tzwand;2;0.03;
cm 10;2;0.03;
ca durchschnittlich;2;0.03;
durchschnittlich 20;2;0.03;
infolge falscher;2;0.03;
falscher entw;2;0.03;
sserung mauerkrone;2;0.03;
mauerkrone bersch;2;0.03;
bersch ttet;2;0.03;
ttet bzw;2;0.03;
bzw berwachsen;2;0.03;
meter mit;2;0.03;
setzungen mit;2;0.03;
rtelfugen max;2;0.03;
tzwand auf;2;0.03;
der einlauf;2;0.03;
auf null;2;0.03;
sichtbar wurde;2;0.03;
wurde zugesch;2;0.03;
zugesch ttet;2;0.03;
ein element;2;0.03;
element ist;2;0.03;
ist defekt;2;0.03;
defekt und;2;0.03;
mehr verankert;2;0.03;
verankert beidseitig;2;0.03;
beidseitig gehalten;2;0.03;
hang wirft;2;0.03;
wirft immer;2;0.03;
immer wieder;2;0.03;
wieder steine;2;0.03;
steine ab;2;0.03;
null aus;2;0.03;
diversen breiten;2;0.03;
breiten bis;2;0.03;
lang ber;2;0.03;
und geb;2;0.03;
aus laufende;2;0.03;
vegetation vorhanden;2;0.03;
vegetation gr;2;0.03;
und den;2;0.03;
laufende gunitabdichtung;2;0.03;
leichte verformungen;2;0.03;
amorce de;2;0.03;
netzrisse in;2;0.03;
diverse bis;2;0.03;
mm breite;2;0.03;
breite l;2;0.03;
und max;2;0.03;
max l;2;0.03;
von 2;2;0.03;
ngsrisse ca;2;0.03;
mm diverse;2;0.03;
diverse feinere;2;0.03;
feinere l;2;0.03;
tzmauer scheinen;2;0.03;
scheinen steinquader;2;0.03;
steinquader lose;2;0.03;
lose zu;2;0.03;
sein ca;2;0.03;
m auf;2;0.03;
simplon ca;2;0.03;
geschiebeablagerungen oberhalb;2;0.03;
oberhalb steink;2;0.03;
rbe was;2;0.03;
zu deformationen;2;0.03;
deformationen der;2;0.03;
rbe f;2;0.03;
hangverlagerung bzw;2;0.03;
bzw ge;2;0.03;
ge nderte;2;0.03;
nderte gel;2;0.03;
gel ndeoberfl;2;0.03;
ndeoberfl che;2;0.03;
von verschiebungen;2;0.03;
verschiebungen und;2;0.03;
und geschiebe;2;0.03;
geschiebe ger;2;0.03;
ger llmaterialansammlungen;2;0.03;
ngen von;2;0.03;
wassersinterungen infolge;2;0.03;
gunitabdichtung auf;2;0.03;
jusque dans;2;0.03;
ton par;2;0.03;
rissbildungen durchsetzt;2;0.03;
wassersinterungen;2;0.03;teilweise auch(2)|auch lteren(2)|lteren datums(2)
es fehlen;2;0.03;
fehlen diverse;2;0.03;
diverse muttern;2;0.03;
muttern der;2;0.03;
der verankerungsschrauben;2;0.03;
dus aux;2;0.03;
0 3m;2;0.03;
unterer st;2;0.03;
st tzmauerabschnitt;2;0.03;
tzmauerabschnitt versatz;2;0.03;
d en;2;0.03;
der gunitabdichtung;2;0.03;
fugen ca;2;0.03;
mm meist;2;0.03;
bei ca;2;0.03;
aller risse;2;0.03;
t riorations;2;0.03;
riorations dans;2;0.03;
zone du;2;0.03;
combiflex pr;2;0.03;
de cloque;2;0.03;
cloque taches;2;0.03;
non tanches;2;0.03;
faut au;2;0.03;
t fait;2;0.03;
de peinture;2;0.03;
verspr det;2;0.03;
gunitabdichtung von;2;0.03;
der portalaufbordung;2;0.03;
mat riau;2;0.03;
che humide;2;0.03;
humide sur;2;0.03;
r parer;2;0.03;
protection est;2;0.03;
est manquante;2;0.03;
jeweils auf;2;0.03;
le mortier;2;0.03;
absprengungen entlang;2;0.03;
grand graffitti;2;0.03;
coin bas;2;0.03;
der gunitkrone;2;0.03;
un coin;2;0.03;
grosse abplatzung;2;0.03;
eventuell aar;2;0.03;
gunitkrone abschluss;2;0.03;
abschluss oben;2;0.03;
seitenw nden;2;0.03;
sich blasen;2;0.03;
cm vor;2;0.03;
eisen weist;2;0.03;
rouille dues;2;0.03;
weist im;2;0.03;
insuffisant et;2;0.03;
fissure due;2;0.03;
et pile;2;0.03;
pile 1;2;0.03;
verschiedenen abplatzungen;2;0.03;
fissuration non;2;0.03;
2mm reste;2;0.03;
interventions ont;2;0.03;
ouvrage 03;2;0.03;
cution sans;2;0.03;
apparente 03;2;0.03;
2mm et;2;0.03;
des entretoises;2;0.03;
principalement longitudinales;2;0.03;
transversales mais;2;0.03;
aussi verticales;2;0.03;
es par;2;0.03;
surface ponctuellement;2;0.03;
rouille 03;2;0.03;
den obersten;2;0.03;
im zentralen;2;0.03;
zentralen bereich;2;0.03;
lokale ausbr;2;0.03;
es probablement;2;0.03;
eaux du;2;0.03;
fauts au;2;0.03;
et 1;2;0.03;
fissure perpendiculaire;2;0.03;
krone aufbordung;2;0.03;
aufbordung im;2;0.03;
horizontale sur;2;0.03;
martigny qui;2;0.03;
qui devient;2;0.03;
devient perpendiculaire;2;0.03;
quille sur;2;0.03;
face est;2;0.03;
important est;2;0.03;
tonnage entre;2;0.03;
gesamte l;2;0.03;
ecken und;2;0.03;
mehrere risse;2;0.03;
der schwimmer;2;0.03;
ist abgewittert;2;0.03;
bei einzelnen;2;0.03;
im gew;2;0.03;
gew lbebereich;2;0.03;
im ein;2;0.03;
fissures et;2;0.03;
dalle c;2;0.03;
lbebereich l;2;0.03;
libre sur;2;0.03;
plupart des;2;0.03;
nouvelle bordure;2;0.03;
der fixierung;2;0.03;
une couverture;2;0.03;
mittig krone;2;0.03;
krone auf;2;0.03;
eine l;2;0.03;
la terre;2;0.03;
ngs gerissen;2;0.03;
sommier surveiller;2;0.03;
l coulement;2;0.03;
de gros;2;0.03;
gros clat;2;0.03;
un enrobage;2;0.03;
von totholz;2;0.03;
bolzensplint fehlt;2;0.03;
du profil;2;0.03;
formations du;2;0.03;
appuis sur;2;0.03;
verlust der;2;0.03;
wirkungsh he;2;0.03;
2 stk;2;0.03;
abdichtung ist;2;0.03;
fection du;2;0.03;
doublon relev;2;0.03;
relev dans;2;0.03;
bord de;2;0.03;
d truit;2;0.03;
le grillage;2;0.03;
aus fuge;2;0.03;
und querrisse;2;0.03;
hohlstellen und;2;0.03;
aufgrund undichtigkeit;2;0.03;
diverse korrodierte;2;0.03;
sordre non;2;0.03;
kalkausscheidungen im;2;0.03;
sultat de;2;0.03;
ist von;2;0.03;
der aufbordung;2;0.03;
horizontales en;2;0.03;
grundplatten und;2;0.03;
und grossteil;2;0.03;
der verankerungen;2;0.03;
verankerungen komplett;2;0.03;
erdmaterial zugedeckt;2;0.03;
zugedeckt und;2;0.03;
lat ral;2;0.03;
bas de;2;0.03;
des armature;2;0.03;
rissen der;2;0.03;
in folge;2;0.03;
folge schwinden;2;0.03;
von zw;2;0.03;
ngungen durch;2;0.03;
durch betoniertetappen;2;0.03;
geringe netzartige;2;0.03;
bewuchs sollte;2;0.03;
sollte durch;2;0.03;
du linteau;2;0.03;
durch unterhalt;2;0.03;
unterhalt entfernt;2;0.03;
entfernt werden;2;0.03;
ouverture 1;2;0.03;
kalkaussinterung l;2;0.03;
nge cm;2;0.03;
ganzer fl;2;0.03;
che vorhanden;2;0.03;
sung dichtungsband;2;0.03;
faces 2;2;0.03;
2 faces;2;0.03;
la poutre;2;0.03;
sans volution;2;0.03;
