Cluster_Representative;Count;Variations;PerMille
100 cm2 mechanische besch digung;309;100 cm2 mechanische besch digung (100) | 200 cm2 mechanische besch digung (61) | 400 cm2 mechanische besch digung (21) | 600 cm2 mechanische besch digung (8) | cm2 mechanische besch digungen (19) | 300 cm2 mechanische besch digung (40) | 75 cm2 mechanische besch digung (17) | 150 cm2 mechanische besch digung (35) | 500 cm2 mechanische besch digung (8);0.92
bewehrung teils;202;bewehrung teils (59) | bewehrung teils in (32) | bewehrung ev (13) | bewehrung bei (9) | bewehrung mit (39) | bewehrung evtl (8) | bewehrung bis (21) | bewehrung im (7) | bewehrung wegen (14);0.6
teils flickstellen;51;teils flickstellen (11) | teils in flickstelle (40);0.15
korrodierter bewehrung teils;162;korrodierter bewehrung teils (55) | mit korrodierter bewehrung teils (53) | korrodierter bewehrung teils in (32) | korrodierter bewehrung evtl (8) | korrodierter bewehrung wegen (14);0.48
zw ngung;327;zw ngung (210) | cm2 zw ngung (117);0.97
100 cm2 zw ngung;70;100 cm2 zw ngung (16) | bis 100 cm2 zw ngung (15) | 200 cm2 zw ngung (14) | 300 cm2 zw ngung (9) | 500 cm2 zw ngung (9) | 1000 cm2 zw ngung (7);0.21
mehrere kleine;666;mehrere kleine (591) | mehrere kleine mit (12) | mehrere kleinere (40) | mehrere kleine gel (23);1.98
abplatzungen bis;629;abplatzungen bis (217) | abplatzung bis (39) | abplatzungen bis 100 (63) | abplatzungen bei (8) | abplatzungen bis 300 (10) | abplatzungen oder (9) | abplatzung mit (27) | abplatzungen der (32) | abplatzungen an (36) | abplatzung bei (7) | stk abplatzungen bis (12) | abplatzungen bis 50 (22) | abplatzungen bis 200 (17) | abplatzungen des (11) | abplatzungen gr (13) | abplatzungen und (26) | abplatzungen mit (40) | abplatzungen bis ca (21) | abplatzungen teils (8) | abplatzungen im (11);1.87
kleine mit abplatzungen;228;kleine mit abplatzungen (7) | kleinen abplatzungen (109) | teils mit abplatzungen (86) | kleine abplatzungen (18) | kleinere abplatzungen (8);0.68
schwindrisse teils mit kalkaussinterungen;479;schwindrisse teils mit kalkaussinterungen (277) | schwindriss bis mm mit kalkaussinterungen (7) | stk schwindrisse teils mit kalkaussinterungen (45) | stk schwindrisse teils mit kalkaussinterung (27) | schwindrisse teils mit kalkaussinterungen teils (19) | einzelne schwindrisse teils mit kalkaussinterungen (37) | stk schwindriss teils mit kalkaussinterungen (8) | schwindrisse teils mit kalksinterungen (38) | schwindrisse bis mm mit kalkaussinterungen (13) | schwindrisse teils mit kalkaussinterung teils (8);1.43
absandung der;52;absandung der (33) | abdeckung der (7) | abplatzung der (12);0.15
der betonoberfl;146;der betonoberfl (63) | der betonoberfl che (63) | an der betonoberfl (12) | auf der betonoberfl (8);0.44
betonoberfl che;100;betonoberfl che (91) | betonoberfl che mit (9);0.3
absandung der betonoberfl;66;absandung der betonoberfl (33) | absandung der betonoberfl che (33);0.2
stk diagonalriss;54;stk diagonalriss (28) | stk diagonalriss mit (8) | stk diagonalrisse (18);0.16
noch nicht;57;noch nicht (17) | cke nicht (11) | ist nicht (9) | und nicht (9) | nicht dicht (11);0.17
anzahl stk;200;anzahl stk (93) | anzahl stk gr (34) | anschl sse (11) | anzahl gr (54) | anzahl stk mit (8);0.6
stk hohlliegende;26;stk hohlliegende (19) | und hohlliegend (7);0.08
hohlliegende pfostenf;36;hohlliegende pfostenf (19) | stk hohlliegende pfostenf (17);0.11
pfostenf llung;82;pfostenf llung (27) | pfostenf llungen (46) | pfosten und (9);0.24
anzahl stk hohlliegende;16;anzahl stk hohlliegende (16);0.05
hohlliegende pfostenf llung;24;hohlliegende pfostenf llung (13) | stk hohlliegende pfostenf llung (11);0.07
llung von alten;24;llung von alten (13) | llung von alten ls (11);0.07
anzahl stk hohlliegende pfostenf;23;anzahl stk hohlliegende pfostenf (14) | anzahl stk hohlliegende pfostenf llung (9);0.07
einzelne schwindrisse;273;einzelne schwindrisse (214) | einzelne fr hschwindrisse (29) | einzelne schwindrisse mit (30);0.81
teils vergossen;188;teils vergossen (181) | stk teils vergossen (7);0.56
querrisse mit;107;querrisse mit (24) | querrisse teils (34) | querrisse auf (27) | netzrisse mit (8) | querrisse in (7) | querrisse an (7);0.32
mit teilweise;47;mit teilweise (9) | mm teilweise (13) | risse teilweise (9) | und teilweise (9) | cm teilweise (7);0.14
kleinfl chige;9;kleinfl chige (9);0.03
abplatzungen infolge;58;abplatzungen infolge (47) | abplatzung infolge (11);0.17
infolge zu;83;infolge zu (14) | infolge fr (22) | infolge zw (9) | infolge aar (24) | fuge zu (14);0.25
zu geringer;27;zu geringer (16) | zu geringe (11);0.08
geringer bewehrungs;21;geringer bewehrungs (12) | zu geringer bewehrungs (9);0.06
bewehrungs berdeckung;16;bewehrungs berdeckung (16);0.05
infolge zu geringer;16;infolge zu geringer (9) | infolge geringer (7);0.05
geringer bewehrungs berdeckung;21;geringer bewehrungs berdeckung (12) | zu geringer bewehrungs berdeckung (9);0.06
infolge zu geringer bewehrungs;7;infolge zu geringer bewehrungs (7);0.02
infolge zu geringer bewehrungs berdeckung;7;infolge zu geringer bewehrungs berdeckung (7);0.02
bergang zu;25;bergang zu (10) | bergang mit (8) | bergang und (7);0.07
zahlreiche kleine;113;zahlreiche kleine (44) | zahlreiche kleinere (35) | zahlreiche teils (34);0.34
flanken fibrescreedkeil;20;flanken fibrescreedkeil (10) | der flanken fibrescreedkeil (10);0.06
sung der flanken fibrescreedkeil;20;sung der flanken fibrescreedkeil (10) | abl sung der flanken fibrescreedkeil (10);0.06
alkali aggregat;9;alkali aggregat (9);0.03
aggregat reaktion;9;aggregat reaktion (9);0.03
alkali aggregat reaktion;9;alkali aggregat reaktion (9);0.03
unterl ufige;10;unterl ufige (10);0.03
stk rissbreite;75;stk rissbreite (17) | stk rissbreite mm (16) | mm rissbreite (35) | che rissbreiten (7);0.22
rissbreite mm;417;rissbreite mm (35) | rissbreite mm nge (15) | rissbreite ca (23) | rissbreite ca mm (14) | rissbreite bis (245) | rissbreiten bis (52) | rissbreite mit (21) | rissbreite von (12);1.24
mm nge;272;mm nge (19) | mm nge cm (15) | mm breit (22) | ts de (31) | mm offen (20) | 80 de (7) | br nig (9) | br cke (21) | im netz (7) | in fuge (8) | me type (23) | bl cke (14) | 3mm pas (8) | max non (18) | mm oben (8) | im rtel (9) | mm nach (7) | am ende (9) | car ne (9) | am netz (8);0.81
anzahl stk rissbreite;32;anzahl stk rissbreite (16) | anzahl stk rissbreite mm (16);0.1
stk rissbreite mm nge;30;stk rissbreite mm nge (15) | stk rissbreite mm nge cm (15);0.09
rissbreite mm nge cm;15;rissbreite mm nge cm (15);0.04
anzahl stk rissbreite mm nge;15;anzahl stk rissbreite mm nge (15);0.04
stk gr sse;108;stk gr sse (42) | stk gr sse cm2 (31) | stk grossfl (20) | stk ngsriss (15);0.32
gr sse cm2;272;gr sse cm2 (60) | gr sse cm2 100 (7) | gr sse cm2 bis (23) | gr ssere (29) | risse im (44) | gr sse bis (66) | gr sser (8) | gr sse ca (25) | gr sseren (10);0.81
anzahl stk gr sse;119;anzahl stk gr sse (34) | anzahl stk gr sse cm2 (31) | anzahl gr sse (54);0.35
beton nicht;29;beton nicht (11) | beton nicht ft (11) | netzes nicht (7);0.09
nicht ft;124;nicht ft (30) | nicht mehr (56) | sich ab (11) | nicht gew (9) | undicht mit (9) | nicht in (9);0.37
best ndig;107;best ndig (23) | ft best ndig (23) | vollst ndig (18) | best ndigkeit (8) | abst nden (11) | ber die (12) | best ndiger (12);0.32
nicht ft best;29;nicht ft best (29);0.09
beton nicht ft best;11;beton nicht ft best (11);0.03
nicht ft best ndig;29;nicht ft best ndig (17) | nicht ft best ndiger (12);0.09
beton nicht ft best ndig;11;beton nicht ft best ndig (11);0.03
grossfl chig;505;grossfl chig (330) | grossfl chige (37) | grossfl chig mit (84) | grossfl chig ca (10) | grossfl chig bis (11) | stk grossfl chig (19) | vollfl chig (14);1.5
chig hohlliegend;82;chig hohlliegend (34) | teils hohlliegend (31) | chig hohlliegender (7) | belag hohlliegend (10);0.24
grossfl chig hohlliegend;35;grossfl chig hohlliegend (28) | grossfl chig hohlliegender (7);0.1
oder aar;427;oder aar (155) | den am (14) | oben ca (25) | der mauer (114) | quer zur (7) | den an (18) | auf aar (24) | der wand (28) | ber ca (23) | oder dgl (10) | oder stark (9);1.27
schwindrisse oder aar;170;schwindrisse oder aar (140) | hschwindrisse oder aar (11) | fr hschwindrisse oder aar (11) | schwindrisse evtl aar (8);0.51
oder aar beginnend;188;oder aar beginnend (150) | evtl aar beginnend (38);0.56
schwindrisse oder aar beginnend;158;schwindrisse oder aar beginnend (136) | hschwindrisse oder aar beginnend (11) | fr hschwindrisse oder aar beginnend (11);0.47
sse cm2 100;30;sse cm2 100 (7) | sse cm2 bis (23);0.09
stk gr sse cm2 100;7;stk gr sse cm2 100 (7);0.02
einzelne abplatzungen;42;einzelne abplatzungen (9) | einzelne abplatzung (22) | einzelne abplatzung mit (11);0.13
kalkaussinterung und;81;kalkaussinterung und (12) | kalkaussinterungen und (36) | kalkaussinterung mit (22) | kalkaussinterung alt (11);0.24
und rostspuren;38;und rostspuren (8) | mit rostspuren (30);0.11
bord re;131;bord re (58) | in bord re (12) | lors de (29) | ber dem (9) | guli re (16) | bord ren (7);0.39
mehrere vermutlich;8;mehrere vermutlich (8);0.02
wegen undichtem;77;wegen undichtem (8) | von undichtem (44) | her undichtem (25);0.23
alte nassstelle;218;alte nassstelle (197) | alte nassstellen (12) | lokale nassstelle (9);0.65
nassstelle jetzt;196;nassstelle jetzt (189) | nassstelle mit (7);0.58
jetzt trocken;244;jetzt trocken (235) | jetzt trocken aus (9);0.73
alte nassstelle jetzt;189;alte nassstelle jetzt (189);0.56
nassstelle jetzt trocken;387;nassstelle jetzt trocken (189) | alte nassstelle jetzt trocken (189) | nassstelle jetzt trocken aus (9);1.15
grosse menge;22;grosse menge (11) | grosse menge an (11);0.07
menge an;91;menge an (11) | nge ca (34) | fuge in (10) | risse an (15) | che an (12) | ment par (9);0.27
an fremdwasser;11;an fremdwasser (11);0.03
fremdwasser probleme;33;fremdwasser probleme (11) | an fremdwasser probleme (11) | fremdwasser probleme in (11);0.1
probleme in;11;probleme in (11);0.03
in uplans;30;in uplans (11) | le uplan (19);0.09
uplans wenn;22;uplans wenn (11) | in uplans wenn (11);0.07
wenn umbau;22;wenn umbau (11) | wenn umbau zu (11);0.07
umbau zu;31;umbau zu (11) | umbau zu ps (11) | mehr zu (9);0.09
zu ps;627;zu ps (11) | zu ps und (11) | ca 1m (10) | ca 0m (11) | in af (26) | 15 mm (40) | ev aus (17) | rt zu (25) | par es (9) | zu kurz (26) | du mur (25) | ch es (11) | ca 20 (29) | ca 5m (12) | ca 80 (10) | ca 50 (23) | zu mm (52) | 25 mm (27) | auf ca (24) | ca 10 (37) | ca 15 (19) | ca 3m (9) | 45 mm (8) | ca 25 (19) | aus fb (7) | zu hoch (9) | tze nr (7) | sur la (22) | zu 10 (7) | nur ca (7) | ca 40 (29) | ca 60 (7) | zu tief (10) | ca ab (7) | nur in (13) | in os (11);1.87
menge an fremdwasser;11;menge an fremdwasser (11);0.03
probleme in uplans;11;probleme in uplans (11);0.03
uplans wenn umbau;33;uplans wenn umbau (11) | in uplans wenn umbau (11) | uplans wenn umbau zu (11);0.1
ps und saba;22;ps und saba (11) | zu ps und saba (11);0.07
grosse menge an fremdwasser;11;grosse menge an fremdwasser (11);0.03
menge an fremdwasser probleme;22;menge an fremdwasser probleme (11) | menge an fremdwasser probleme in (11);0.07
an fremdwasser probleme in;11;an fremdwasser probleme in (11);0.03
fremdwasser probleme in uplans;33;fremdwasser probleme in uplans (11) | an fremdwasser probleme in uplans (11) | fremdwasser probleme in uplans wenn (11);0.1
probleme in uplans wenn;11;probleme in uplans wenn (11);0.03
wenn umbau zu ps;22;wenn umbau zu ps (11) | wenn umbau zu ps und (11);0.07
umbau zu ps und;11;umbau zu ps und (11);0.03
grosse menge an fremdwasser probleme;11;grosse menge an fremdwasser probleme (11);0.03
probleme in uplans wenn umbau;11;probleme in uplans wenn umbau (11);0.03
in uplans wenn umbau zu;11;in uplans wenn umbau zu (11);0.03
uplans wenn umbau zu ps;11;uplans wenn umbau zu ps (11);0.03
umbau zu ps und saba;11;umbau zu ps und saba (11);0.03
stk bis 200 cm2 mechanische;172;stk bis 200 cm2 mechanische (60) | stk bis 400 cm2 mechanische (22) | stk bis 75 cm2 mechanische (17) | stk bis 300 cm2 mechanische (37) | stk bis 150 cm2 mechanische (36);0.51
bis 200 cm2 mechanische besch;196;bis 200 cm2 mechanische besch (63) | bis 400 cm2 mechanische besch (24) | bis 300 cm2 mechanische besch (44) | bis 75 cm2 mechanische besch (18) | bis 150 cm2 mechanische besch (38) | bis 500 cm2 mechanische besch (9);0.58
infolge bewuchs;13;infolge bewuchs (13);0.04
zu sehen;77;zu sehen (21) | zu wenig (7) | st ssen (7) | ev wegen (23) | zu ffnen (10) | zu beginn (9);0.23
infolge bewuchs nicht;8;infolge bewuchs nicht (8);0.02
nicht mehr zu;8;nicht mehr zu (8);0.02
von undichtem fb;82;von undichtem fb (33) | von undichter (19) | her undichtem fb (14) | von undichter fuge (9) | von undichten (7);0.24
leicht korrodiert;146;leicht korrodiert (139) | teils korrodiert (7);0.44
keine randfuge;50;keine randfuge (23) | keine fuge (18) | keine randfugen (9);0.15
leicht hohlliegend;10;leicht hohlliegend (10);0.03
sch chte;9;sch chte (9);0.03
abplatzungen bis 200cm2;147;abplatzungen bis 200cm2 (7) | abplatzung bis 100 cm2 (14) | abplatzungen bis 100 cm2 (63) | abplatzungen bis 300 cm2 (10) | abplatzungen bis 50 cm2 (22) | abplatzungen bis 200 cm2 (17) | mit abplatzungen bis 200 cm2 (14);0.44
mm breite;161;mm breite (33) | ca mm breite (31) | mm teils (28) | im bereich (47) | ca mm breit (14) | mm breite mit (8);0.48
dilatierten st;7;dilatierten st (7);0.02
st tzen;123;st tzen (32) | st tzmauer (84) | st tze nr (7);0.37
schwindrisse bis ca;164;schwindrisse bis ca (14) | schwindrisse bis ca mm (13) | schwindrisse bis mm (88) | schwindriss bis mm (21) | schwindrisse block (28);0.49
bis ca mm;407;bis ca mm (236) | bis ca 5cm (8) | bis 15 mm (27) | bis mm mit (31) | bis ca 1cm (8) | bis zu mm (52) | bis 25 mm (11) | stk ca m2 (8) | bis ca 3mm (12) | bis ca 5mm (14);1.21
dilatierten st tzen;7;dilatierten st tzen (7);0.02
bis ca mm breite;80;bis ca mm breite (30) | bis ca mm rissbreite (34) | bis ca mm breite mit (7) | bis ca mm breit (9);0.24
rissbreite bis ca;297;rissbreite bis ca (119) | rissbreite bis ca mm (107) | rissbreiten bis zu (24) | rissbreite bis ca 5mm (7) | rissbreiten bis mm (17) | rissbreite bis zu (23);0.88
kalkaussinterungen teils;329;kalkaussinterungen teils (65) | mit kalkaussinterungen teils (63) | kalkaussinterungen teils mit (33) | kalkaussinterungen mit (58) | kalkaussinterungen evtl (29) | kalksinterungen teils (15) | kalkaussinterungen aus (20) | kalkaussinterung teils (36) | kalkaussinterungen alt (10);0.98
teils mit ausbr;129;teils mit ausbr (32) | teils mit kornausbr (97);0.38
schwindrisse mit kalkaussinterungen teils;20;schwindrisse mit kalkaussinterungen teils (11) | schwindrisse mit kalkaussinterung teils mit (9);0.06
mit kalkaussinterungen teils mit;75;mit kalkaussinterungen teils mit (32) | teils mit kalkaussinterungen teils mit (14) | mit kalkaussinterung teils mit (21) | mit kalksinterungen teils mit (8);0.22
teils mit ausbr chen;128;teils mit ausbr chen (32) | teils mit kornausbr chen (96);0.38
schadhafter korrosionsschutz;239;schadhafter korrosionsschutz (239);0.71
stk abplatzung;40;stk abplatzung (13) | stk abplatzung bis (10) | stk mit abplatzung (17);0.12
abplatzung bis 100;24;abplatzung bis 100 (15) | mit abplatzung bis 100 (9);0.07
versetzm rtel;10;versetzm rtel (10);0.03
rtel grossfl;56;rtel grossfl (11) | teils grossfl (45);0.17
rtel grossfl chig;51;rtel grossfl chig (11) | teils grossfl chig (40);0.15
mit betonabplatzungen;216;mit betonabplatzungen (104) | mit betonabplatzung (30) | mit betonabplatzung bis (16) | stk mit betonabplatzungen (14) | mit betonabplatzungen bis (32) | be mit betonabplatzungen (12) | mit betonabplatzungen mit (8);0.64
mehrere mit betonabplatzungen;53;mehrere mit betonabplatzungen (14) | mehrere mit abplatzungen (32) | mehrere mit betonabplatzungen bis (7);0.16
kleine teils;212;kleine teils (54) | kleine gel (49) | kleine stellen (13) | hrend teils (15) | kleine teils mit (35) | chen teils (19) | leicht teils (8) | kleinere teils (11) | kleine abl (8);0.63
ungen gende;84;ungen gende (44) | ungen gend (19) | ungen gender (21);0.25
gende beton;48;gende beton (24) | ser beton (14) | gender beton (10);0.14
beton berdeckung;63;beton berdeckung (54) | keine berdeckung (9);0.19
mehrere kleine teils;83;mehrere kleine teils (40) | mehrere kleine stellen (12) | mehrere kleine teils mit (24) | mehrere kleinere teils (7);0.25
ungen gende beton;34;ungen gende beton (24) | ungen gender beton (10);0.1
gende beton berdeckung;40;gende beton berdeckung (23) | gender beton berdeckung (10) | gende betondeckung (7);0.12
ungen gende beton berdeckung;40;ungen gende beton berdeckung (23) | ungen gender beton berdeckung (10) | ungen gende betondeckung (7);0.12
bewehrungsstab mit;116;bewehrungsstab mit (22) | bewehrungsst be mit (94);0.35
stk korrodierter bewehrungsstab mit;76;stk korrodierter bewehrungsstab mit (21) | stk korrodierte bewehrungsst be mit (55);0.23
ca 2cm;292;ca 2cm (19) | ca 5cm (29) | ca alle (8) | ca 1cm (10) | ca 30 cm (7) | ca 3cm (13) | ca 500cm2 (10) | ca 1mm (10) | ca 5mm (27) | che ca (8) | la rag (7) | ca 20 cm (9) | ca 100cm2 (10) | ca 3mm (22) | ca 25 m2 (9) | ca 15 mm (10) | la cul (9) | max 3mm (14) | ca 10cm (7) | ca 40 cm (9) | ca 10mm (9) | ca 2mm (7) | ca 20 mm (7) | ca 20x20cm (8) | ca 200cm2 (14);0.87
bei lkw;112;bei lkw (9) | gef llt (17) | bei af (15) | bei alten (8) | bei den (34) | ger ll (22) | bei allen (7);0.33
mehrere mit abplatzungen bis;44;mehrere mit abplatzungen bis (27) | mehrere mit abplatzungen bis 100 (10) | mehrere abplatzungen bis (7);0.13
mit abplatzungen bis 100;180;mit abplatzungen bis 100 (56) | mit abplatzungen bis 100 cm2 (56) | mit abplatzungen bis 300 (7) | stk mit abplatzungen bis 100 (29) | mit abplatzungen bis 200 (14) | mit abplatzungen bis 50 (18);0.54
verf llungen von;15;verf llungen von (15);0.04
llungen von gel;13;llungen von gel (13);0.04
verf llungen von gel nderpfosten;13;verf llungen von gel nderpfosten (13);0.04
stk mit abplatzungen bis;109;stk mit abplatzungen bis (67) | be mit abplatzungen bis (24) | stk mit abplatzung bis (10) | stk mit abplatzungen bis 50 (8);0.32
kleine binddr;200;kleine binddr (92) | kleine binddr hte (92) | kleine gel binddr (16);0.6
binddr hte;358;binddr hte (178) | gel binddr hte (36) | binddr hte und (104) | binddr hte gel (16) | und binddr hte (16) | binddr hte etc (8);1.07
kleine gel binddr hte;29;kleine gel binddr hte (16) | kleine gel binddr hte und (13);0.09
mehrere diagonalrisse;10;mehrere diagonalrisse (10);0.03
diagonalrisse teils;18;diagonalrisse teils (7) | diagonalrisse mit (11);0.05
mit rostflecken;506;mit rostflecken (389) | cm2 mit rostflecken (18) | mit rostflecken mit (31) | und rostflecken (35) | mit rostflecken zu (7) | stk mit rostflecken (7) | mit rostflecken und (11) | teils rostflecken (8);1.51
rostflecken mit;87;rostflecken mit (33) | rostflecken zu (8) | rostflecken von (7) | rostflecken im (7) | rostflecken und (13) | rostflecken teils (10) | rostflecken an (9);0.26
stk bis 1500;379;stk bis 1500 (37) | stk bis 1200 (46) | stk bis 1100 (11) | stk bis 1000 (108) | stk bis 1800 (16) | stk bis 2000 (57) | stk bis 2400 (10) | stk bis 1600 (33) | je stk bis 100 (12) | stk bis 2500 (15) | stk bis 4500 (7) | stk bis 1300 (7) | stk bis 1400 (13) | stk bis 4000 (7);1.13
1500 cm2 mit;338;1500 cm2 mit (32) | 1200 cm2 mit (47) | 1000 cm2 mit (84) | 2000 cm2 mit (54) | 3000 cm2 mit (22) | 2400 cm2 mit (8) | 1600 cm2 mit (32) | 2500 cm2 mit (17) | 1000 cm2 zw (7) | 1400 cm2 mit (9) | 150 cm2 zw (7) | 1100 cm2 mit (8) | 1800 cm2 mit (11);1.01
mehrere schwindrisse bis mm;19;mehrere schwindrisse bis mm (19);0.06
riss in;293;riss in (48) | riss in der (30) | riss im (11) | wasser in (10) | risse in (116) | riss an (7) | rissen in (7) | risse von (11) | rissen im (7) | rissl ngen (16) | nids de (8) | rissen und (12) | auch in (10);0.87
stk bis 1000cm2 mit korrodierter;96;stk bis 1000cm2 mit korrodierter (10) | stk bis m2 mit korrodierter (46) | stk bis 300cm2 mit korrodierter (7) | stk bis 200cm2 mit korrodierter (11) | stk bis 500cm2 mit korrodierter (7) | stk bis 400cm2 mit korrodierter (8) | stk bis 100cm2 mit korrodierter (7);0.29
bis 1000cm2 mit korrodierter bewehrung;95;bis 1000cm2 mit korrodierter bewehrung (16) | bis 2000cm2 mit korrodierter bewehrung (9) | bis 300cm2 mit korrodierter bewehrung (11) | bis 200cm2 mit korrodierter bewehrung (18) | bis 500cm2 mit korrodierter bewehrung (10) | bis 400cm2 mit korrodierter bewehrung (9) | bis 100cm2 mit korrodierter bewehrung (15) | bis 150cm2 mit korrodierter bewehrung (7);0.28
bewehrung teils in flickstelle;32;bewehrung teils in flickstelle (32);0.1
mit korrodierter bewehrung teils in;32;mit korrodierter bewehrung teils in (32);0.1
korrodierter bewehrung teils in flickstelle;32;korrodierter bewehrung teils in flickstelle (32);0.1
evtl zw ngung;26;evtl zw ngung (19) | cm2 evtl zw ngung (7);0.08
stk horizontalriss;102;stk horizontalriss (50) | je stk horizontalriss (11) | stk horizontalrisse (20) | stk horizontalriss mit (21);0.3
netzf rmig;10;netzf rmig (10);0.03
schwindrisse netzf rmig;8;schwindrisse netzf rmig (8);0.02
wasserf hrend;362;wasserf hrend (274) | wasserf hrende (19) | wasserf hrend mit (38) | wasserf hrend und (9) | wasserf hrung (13) | wasser und (9);1.08
ev von;65;ev von (23) | ev alt (8) | meist von (7) | che von (9) | ev alte (10) | oft von (8);0.19
mehrere teils grossfl;11;mehrere teils grossfl (11);0.03
mehrere teils grossfl chig;9;mehrere teils grossfl chig (9);0.03
mehrere grossfl;91;mehrere grossfl (33) | mehrere grosse (8) | mehrere risse (32) | mehrere gr sse (11) | mehrere gr ssere (7);0.27
mehrere grossfl chig;46;mehrere grossfl chig (23) | mehrere grossfl chig mit (13) | mehrere grossfl chige (10);0.14
infolge korrosion;53;infolge korrosion (34) | infolge korrosion der (19);0.16
ver nderung;9;ver nderung (9);0.03
undichte bindstelle;150;undichte bindstelle (74) | undichte bindstellen (58) | stk undichte bindstelle (18);0.45
bewehrungsst be;246;bewehrungsst be (246);0.73
mittelbord re;12;mittelbord re (12);0.04
infolge undichter;105;infolge undichter (46) | infolge undichtem (33) | infolge undichtem fb (26);0.31
im fussbereich;36;im fussbereich (29) | im kopfbereich (7);0.11
mit kalkablagerungen;37;mit kalkablagerungen (37);0.11
mit kalkaussinterungen und;147;mit kalkaussinterungen und (34) | mit kalkaussinterungen mit (57) | mit kalkaussinterungen evtl (29) | mit kalkaussinterungen aus (18) | mit kalkaussinterungen alt (9);0.44
mehrere mit kalkaussinterungen;66;mehrere mit kalkaussinterungen (32) | mehrere mit kalkaussinterung (20) | mehrere teils mit kalkaussinterungen (14);0.2
vorhanden teils;140;vorhanden teils (48) | vorhanden teils mit (46) | vorhanden mit (38) | vorhanden abl (8);0.42
mit bewuchs;284;mit bewuchs (255) | teils bewuchs (16) | und bewuchs (13);0.85
der flanken teils;80;der flanken teils (49) | der flanken teils mit (31);0.24
belagsfuge vorhanden teils;78;belagsfuge vorhanden teils (39) | belagsfuge vorhanden teils mit (39);0.23
teils mit bewuchs;120;teils mit bewuchs (120);0.36
keine belagsfuge vorhanden teils;78;keine belagsfuge vorhanden teils (39) | keine belagsfuge vorhanden teils mit (39);0.23
vorhanden teils mit bewuchs;44;vorhanden teils mit bewuchs (44);0.13
abl sung der flanken teils;104;abl sung der flanken teils (48) | abl sung der flanken bis (34) | abl sung der flanken mit (22);0.31
belagsfuge vorhanden teils mit bewuchs;69;belagsfuge vorhanden teils mit bewuchs (39) | belagsfugen vorhanden mit bewuchs (7) | belagsfuge vorhanden mit bewuchs (23);0.21
leichte abl;15;leichte abl (15);0.04
leichte abl sung;26;leichte abl sung (14) | leichte abl sung der (12);0.08
leichte abl sung der beschichtung;21;leichte abl sung der beschichtung (7) | mit abl sung der beschichtung (7) | zahlreiche abl sungen der beschichtung (7);0.06
an untersicht;15;an untersicht (8) | der untersicht (7);0.04
undichte arbeitsfugen;31;undichte arbeitsfugen (16) | undichte arbeitsfuge (15);0.09
mehrere undichte;22;mehrere undichte (22);0.07
mehrere teils vergossen;33;mehrere teils vergossen (33);0.1
teils geflickte;45;teils geflickte (7) | teils leichte (22) | teils geflickt (16);0.13
im belag;82;im belag (31) | im oberen (25) | ok belag (7) | im beton (12) | am bergang (7);0.24
belag teils;105;belag teils (13) | chig teils (12) | rtel teils (14) | belag bis (11) | be teils (16) | block teils (39);0.31
korrosionsschutz abgefahren;8;korrosionsschutz abgefahren (8);0.02
bis 200 cm2 zw ngung;39;bis 200 cm2 zw ngung (14) | bis 300 cm2 zw ngung (9) | bis 500 cm2 zw ngung (9) | bis 1000 cm2 zw ngung (7);0.12
stk bis m2 mit;47;stk bis m2 mit (47);0.14
ft beton;25;ft beton (7) | des betons (18);0.07
beton und;24;beton und (9) | fugen und (8) | decke und (7);0.07
mehrere bis 200;247;mehrere bis 200 (29) | mehrere bis 200 cm2 (29) | mehrere bis 100 (43) | mehrere bis 800 (8) | mehrere bis 300 (23) | mehrere bis 400 (32) | mehrere bis m2 (15) | mehrere bis 1000 (17) | mehrere bis 500 (23) | mehrere bis 2000 (11) | mehrere bis 1200 (9) | mehrere bis ca (8);0.74
mehrere bis 200 cm2 mit;108;mehrere bis 200 cm2 mit (23) | mehrere bis 100 cm2 mit (24) | mehrere bis 400 cm2 mit (20) | mehrere bis 300 cm2 mit (7) | mehrere bis 500 cm2 mit (17) | mehrere bis 2000 cm2 mit (8) | mehrere bis 1200 cm2 mit (9);0.32
mit rissen;211;mit rissen (59) | mit alten (15) | aar risse (43) | mit rtel (10) | den rissen (17) | mit riss (13) | mm rissl (26) | mit einer (12) | aus rissen (9) | von rissen (7);0.63
im vorbeton;8;im vorbeton (8);0.02
sichtbar wegen;8;sichtbar wegen (8);0.02
schwindrisse im vorbeton;8;schwindrisse im vorbeton (8);0.02
vermutlich durch;34;vermutlich durch (24) | vermutlich aus (10);0.1
durch wasser;7;durch wasser (7);0.02
mehrere bis 100 cm2;165;mehrere bis 100 cm2 (43) | mehrere bis 800 cm2 (8) | mehrere bis 300 cm2 (22) | mehrere bis 400 cm2 (32) | mehrere bis 1000 cm2 (17) | mehrere bis 500 cm2 (23) | mehrere bis 2000 cm2 (11) | mehrere bis 1200 cm2 (9);0.49
mit korrodierter bewehrung ev;103;mit korrodierter bewehrung ev (13) | mit korrodierter bewehrung bei (7) | mit korrodierter bewehrung mit (29) | mit korrodierter bewehrung evtl (8) | mit korrodierter bewehrung zw (10) | mit korrodierter bewehrung und (8) | mit korrodierter bewehrung von (14) | mit korrodierter bewehrung wegen (14);0.31
her undichter;116;her undichter (13) | fr her undichter (13) | stk undichte (58) | und undichte (7) | fr her undichtem (25);0.35
