Cluster_Representative;Count;Variations;PerMille
de ouvrage surface fortement alt;7;de ouvrage surface fortement alt (7);0.23
depuis la partie sup de ouvrage surface;7;depuis la partie sup de ouvrage surface (7);0.23
la partie sup de ouvrage surface fortement;21;la partie sup de ouvrage surface fortement (7) | partie sup de ouvrage surface fortement alt (7) | la partie sup de ouvrage surface fortement alt (7);0.69
venue eau depuis la partie sup de ouvrage surface;14;venue eau depuis la partie sup de ouvrage surface (7) | venue eau depuis la partie sup de ouvrage surface fortement (7);0.46
eau depuis la partie sup de ouvrage surface fortement;21;eau depuis la partie sup de ouvrage surface fortement (7) | depuis la partie sup de ouvrage surface fortement alt (7) | eau depuis la partie sup de ouvrage surface fortement alt (7);0.69
syst me;10;syst me (10);0.33
non migr;16;non migr (16);0.53
de longueur non sup 30cm;10;de longueur non sup 30cm (10);0.33
dans entretoise;8;dans entretoise (8);0.26
migr dans entretoise;8;migr dans entretoise (8);0.26
efflorescences en;11;efflorescences en (11);0.36
corrosion armatures;8;corrosion armatures (8);0.26
efflorescences en surface;11;efflorescences en surface (11);0.36
fection des;7;fection des (7);0.23
fection des joints;7;fection des joints (7);0.23
largeur vraisemblablement;7;largeur vraisemblablement (7);0.23
fissures de largeur vraisemblablement;7;fissures de largeur vraisemblablement (7);0.23
la bordure;15;la bordure (15);0.49
le ton;21;le ton (14) | le mur (7);0.69
ton clat;10;ton clat (10);0.33
clat plusieurs;10;clat plusieurs (10);0.33
plusieurs endroits;10;plusieurs endroits (10);0.33
endroits en;10;endroits en (10);0.33
en raison;11;en raison (11);0.36
raison de;10;raison de (10);0.33
forte corrosion;11;forte corrosion (11);0.36
corrosion des;10;corrosion des (10);0.33
des armatures;10;des armatures (10);0.33
clat plusieurs endroits;10;clat plusieurs endroits (10);0.33
endroits en raison;10;endroits en raison (10);0.33
de la forte;10;de la forte (10);0.33
le ton clat plusieurs;10;le ton clat plusieurs (10);0.33
plusieurs endroits en raison;20;plusieurs endroits en raison (10) | plusieurs endroits en raison de la (10);0.66
en raison de la;10;en raison de la (10);0.33
raison de la forte;10;raison de la forte (10);0.33
de la forte corrosion;10;de la forte corrosion (10);0.33
la forte corrosion des;10;la forte corrosion des (10);0.33
forte corrosion des armatures;20;forte corrosion des armatures (10) | de la forte corrosion des armatures (10);0.66
le ton clat plusieurs endroits;30;le ton clat plusieurs endroits (10) | ton clat plusieurs endroits en (10) | le ton clat plusieurs endroits en (10);0.99
endroits en raison de la;10;endroits en raison de la (10);0.33
raison de la forte corrosion;10;raison de la forte corrosion (10);0.33
ton clat plusieurs endroits en raison;50;ton clat plusieurs endroits en raison (10) | clat plusieurs endroits en raison de (10) | le ton clat plusieurs endroits en raison (10) | ton clat plusieurs endroits en raison de (10) | ton clat plusieurs endroits en raison de la (10);1.65
clat plusieurs endroits en raison de la;30;clat plusieurs endroits en raison de la (10) | clat plusieurs endroits en raison de la forte (10) | le ton clat plusieurs endroits en raison de la (10);0.99
en raison de la forte corrosion des;10;en raison de la forte corrosion des (10);0.33
endroits en raison de la forte corrosion des;10;endroits en raison de la forte corrosion des (10);0.33
